User,text,time
matsuoka,"2017/4/14 作業報告
･画像の複数認識にOpenCVが使えそうなのでOpenCVについての調査･インストール
→動作確認がいまいち上手くいかなかったのでインストール方法をもう一度確認する
･OpenCVでPythonを使う予定なのでPythonの勉強
→リスト･タップ･辞書あたりの違いなどを実際に動かして確認した",1492168860.777407
kurihara,"2017/04/14 :house:
* Javaオンラインコンパイラの論文やポスター、ソースコードなどを受け取り、ソースコードリーディングや読むなどをしました。",1492168387.719472
tsukiji,"2017/04/14 作業報告
・4年生への卒論スライドやセミナーの進め方についてのスライドを作成し、#seminar1421にアップしました。同様のものをonedriveにも挙げておきました。これは随時必要なことがあれば追記していくつもりです(恐らく)
・研究計画書の見直し
スライドにこだわらず，図や表などの情報を評価することでどのような効果が出るのか(分かりやすい効果がでるような)を考えるために、関連研究を調べていました．
いま考えている内容として、専門分野についての内容が書かれたブログ記事において、人気のあるものがどのような特徴を持っているのかを、記事内のソースコードの量やスクリーンショットの量などの側面や、取り上げた内容の流行などの尺度で特徴が得られないか考えています。",1492167559.616012
shohei516,PHPの勉強(配列の編集についてをメインに行った),1492155930.816065
shohei516,関連研究の調査(1件探した。今後も継続),1492155901.810500
shohei516,2017/4/14 報告,1492155847.801104
umetani,PHPの勉強,1492096892.721741
umetani,2017/04/13 作業報告,1492096865.711735
tsukiji,"2017/04/13 作業報告
・院セミナー
スライドにこだわらず一つ対象の範囲を広げてもう一度考えてみます
単語や文章では同じレベルの時に図表の有無やクォリティで違いが現れるような具体例やその効果が見込めるような場面を考えてみる
自身が考えたアイディアがどのようなことに使われるのか(良くなるのか)とリンクできるように頑張ります
・目標とする学会の調査
電気学会・電子情報通信学会・情報処理学会でテーマをもとに参加できそうなものを追加で調査しました(笠君がまとめてくれました)
・昨日のセミナーでの意見のまとめ
昨日のセミナーで4年生の子に言った質問と意見をまとめて#seminar1421にアップしました
たぶん昨日言った事と同じはずです",1492083414.826584
takahashiy,"2017/04/13 作業報告
Pythonの勉強",1492082781.720905
t.kasai,"2017/04/13 作業報告
・院セミナーへの参加
・参加する可能性のある学会の調査・まとめ（まとめたものは <#C4W2RL2BA|grad2017> にアップロード済み）
次の院セミナーまでに研究計画書を書き直す",1492080044.258111
ishikawa,"2017/04/13 作業報告
・D3.jsの勉強
データをグラフで可視化するJavaScriptライブラリについてドットインストールを利用して勉強しました。
趣味で開発したクローラーで取ってきたデータの可視化で利用する予定です。
・論文の調べ方を調査
過去の論文についての調べ方や関連研究に関するフレーズを鷹野先生に伺いました。明日、論文を読むもくもく会する予定です。",1492079674.194498
yuta,資格の勉強,1492075246.304146
yuta,4/13 報告,1492075238.302414
ko-hei,"4/13
院ゼミの拝聴、JSの勉強",1492069982.218217
shohei516,清水さんのプログラムの動作確認,1492066919.709959
shohei516,PHPの勉強,1492066893.706128
shohei516,4/13 報告,1492066880.704094
tsukiji,"2017/04/12 作業報告
・セミナーの手伝い
4年生への意見を提案しました。去年に先生から言われた点をなるべく思い出しながら指摘した。。。はずです
・明日の準備
月曜の計画書の反映として既存のスライド情報の抽出との違い(取り組む目的？)を書きました。現時点でスライドに反映までできてないのでもろもろ明日までに何とかします",1491999791.862369
takahashiy,"2017/04/12
卒業研究のテーマの発表
質疑応答
次回までの課題の確認",1491996091.145221
ko-hei,"2017/4/12
ゼミ&amp;JSの勉強",1491995180.981703
shohei516,引き続きPHPの勉強,1491992988.574977
shohei516,そのスライドの質疑,1491992961.570027
shohei516,スライドの発表,1491983266.445404
shohei516,4/12 報告,1491983261.444426
ko-hei,"2017/4/10.11
vue.jsの勉強とスライドの作成",1491915853.584524
kaiseiaoki,"2017/4/11 作業報告(自宅)
・研究テーマ候補の関連研究を調査しました",1491915037.360210
ishikawa,"2017/4/11 作業報告( :school: )
・スライドを完成させました
・PostgreSQLをインストールし、Rubyを利用して操作出来る様にしました（勉強中）",1491897175.616266
tsukiji,"2017/4/10 作業報告
研究計画書の提出
 コメントの反映は遅くとも木曜日までに行います。また、足りない部分を補うように研究目的と背景を随時更新します
Rの環境設定と基礎的な部分の学習
 院の講義で、扱うので自分の研究にも行かせるように学習します",1491826711.497497
t.kasai,<@U0J8PMAQJ|t.kasai> uploaded a file: <https://kait-takanolab.slack.com/files/t.kasai/F4W6MMG8Y/_________________________________________________________.md|ディープラーニング系ツールの導入手順書>,1491821348.507760
t.kasai,"2017/4/10 作業報告
・nvidia-docker のインストール完了
・TensorFlow の動作確認済み
・作業手順書の完成（以下のポスト）",1491821317.502423
yuta,明日までに完成,1491815042.204427
yuta,セミナーのスライド作成,1491815010.197276
yuta,2017/4/10 報告(学内),1491814986.191672
shohei516,PHPの練習,1491802503.159689
shohei516,明後日のセミナーのためのスライドの作成(完成に近い),1491802497.159077
shohei516,2017/4/10 報告(学内),1491802449.154768
shohei516,火曜に選考があるため月曜までには完成させる予定です。,1491656782.423097
shohei516,スライドの作成を行いました。,1491656713.419390
shohei516,2017/4/8 報告(自宅),1491656676.417440
matsuoka,"2017/4/7 作業報告（自宅）
セミナーで発表するスライドの作成（5割ほど）
月曜日に完成予定",1491585043.197936
t.kasai,"2017/4/7 作業報告
・昨日から引き続き Docker, nvidia-docker のインストール作業を行った
　・nvidia-docker の起動が失敗するので月曜日はその調査を行う",1491570553.191899
tsukiji,"2017/4/7 作業報告
研究計画書のスライド作成
肩慣らしにslackAPIを用いたプログラムの作成
pythonのモジュールがインストールされないところで沼にはまりました",1491568964.785153
kaiseiaoki,おおよそ完成しました,1491567839.538501
kaiseiaoki,"2017/4/7 作業報告(自宅)
引き続き、セミナーで発表するための卒研のアイデアをまとめたスライドを作成しました。",1491567829.536472
ishikawa,"2017/4/7 研究室での作業の報告
・Rubyでオブジェクト指向プログラミングの勉強（継続してやっていく予定です）
・作業をしている上村君の疑問に答えました
・土日でスライドの発表原稿を作りたいと思います",1491565880.150995
ko-hei,e-Listeningプログラムの解析,1491531302.931644
ko-hei,2017/4/6 作業報告,1491531242.924685
t.kasai,<@U0J8PMAQJ|t.kasai> uploaded a file: <https://kait-takanolab.slack.com/files/t.kasai/F4UT67RCG/-.md|Untitled>,1491496819.282007
t.kasai,"2017/4/6 作業報告
・Ubuntu をインストールしたベアボーンに GPU のドライバと CUDA のインストールを行った
　・サンプルプログラムを実行した結果倍精度（？）で96.106 Gflopsの性能がでた
・インストール作業のログを記録（以下のポストに記述）
・明日は nvidia-docker のインストールとどれか1つのディープラーニング系フレームワークのテスト実行を行う",1491496750.257914
ishikawa,"2017/4/6 作業報告
・来週水曜日のセミナーで発表するスライドの作成（自宅で）",1491473744.299422
kaiseiaoki,"2017/4/6 作業報告

セミナーで発表するための卒研のアイデアをまとめたスライドを作成しました。
8割ほど完成しました。",1491471503.809036
tsukiji,<@U0JAEV08K|tsukiji> set the channel topic: 1日の作業報告を書くチャンネル。必ず書くこと。詳しく書くことを心がける事,1491457567.240358
tsukiji,<@U0JAEV08K|tsukiji> set the channel topic: 壱日の作業報告を書くチャンネル。必ず書くこと。詳しく書くことを心がける事,1491457560.239579
ko-hei,<@U12475CJC|ko-hei> has joined the channel,1491457331.215196
matsuoka,<@U107MMD8Q|matsuoka> has joined the channel,1491457198.201020
takahashiy,<@U107G430F|takahashiy> has joined the channel,1491457198.201012
umetani,<@U123ZGHM2|umetani> has joined the channel,1491457197.201006
kaiseiaoki,<@U105P17QT|kaiseiaoki> has joined the channel,1491457197.201001
kurihara,<@U106Y1J7N|kurihara> has joined the channel,1491457197.200993
tsukiji,"2017/4/5 作業報告
・研究計画書(修正版)の作成
どのような事を行うのか、それによる利点、課題とする点について大雑把ですが書いてみました
また、笠井君と明日意見を交換できるように簡単なスライド資料を作成しました。
二つの資料はonedriveのtakanolab2017のほうにアップしておきました",1491392143.971123
ishikawa,<@U106UP90U|ishikawa> has joined the channel,1489314586.668376
yuta,<@U107TJHPF|yuta> has joined the channel,1489114860.150897
shohei516,<@U10J4NGHH|shohei516> has joined the channel,1489027015.631012
kumada,"2017/02/10作業報告
要旨の作成",1486729318.000006
t.kasai,"2017/02/10 作業報告
・要旨の作成
　・指摘された部分の修正（実験結果に考察を追加）
　・OneDrive にアップロード済み",1486726431.000005
otaki,"2017/02/10 作業報告
要旨の作成
卒論発表スライドの本研究の特徴の図を改編したもの作成",1486723687.000004
tsukiji,"2017/02/10 作業報告
要旨の作成
指摘された内容を修正しました。
出現頻度と評価スコアに変数を追加し、重み付けに関する式を入れることで格調高くしました
作成したものはOnedriveにアップし、共同机に印刷したものを置いておきました",1486721182.000002
matsumoto,"2017/02/09 作業報告
要旨の制作
先生から頂いたコメント部分の変更
→改訂版をonedriveにアップロードしました。",1486658508.000002
takahashim,"2017/02/09　作業報告
要旨の編集
先生から指摘された部分の追記
OneDriveにアップロード済み",1486636464.000004
otaki,"2017/02/09　作業報告
要旨の作成
流れ図の作成と研究の導入部分改変",1486632934.000003
tsukiji,"2017/02/09 作業報告
コメントを反映した論文要旨の修正版を作りました。
印刷して机に置いておきました．(Onedriveにアップロードにも置きました)",1486632701.000002
tsukiji,"2017/02/07 作業報告
要旨の作成
第一版をonedriveにアップしました
一通りの内容を詰め込みましたボリュームは1枚半程度です",1486459561.000002
takahashim,"2017/02/03 作業報告
スライドの修正
発表練習
チェックリスト動的集計機能と帳票システムの説明が交互になっていたため、傾聴者がわかりずらいとの指摘を受け、順番をどうすればよいか考え中です。",1486120162.000007
shimizu,"2017/02/03 作業報告
・スライドの修正
　・昨日指摘を受けた箇所を修正
・発表練習
現在のスライドはOneDriveにアップロードしました",1486119761.000006
tsukiji,"修正メモ
目的の前に既存の特徴抽出の価格.comのスライドの変更と内容の微調整
実験結果と考察の調整(2枚目)",1486119749.000005
matsumoto,"2017/02/03 作業報告
?スライド修正
?発表練習
今回の発表練習で教えてもらった修正点を日曜日までに反映したいと思います。",1486119426.000004
otaki,"2017/02/03　作業報告
・スライドの修正
→研究背景や本研究の特徴の図示、修正
・発表練習
→発表時間の短縮，貰った意見の反映",1486119388.000003
kumada,"2017/02/03作業報告
・スライドの修正
　研究背景・研究課題・提案方式の修正をしました．　
・発表練習",1486119387.000002
t.kasai,"2017/02/02 作業報告
・スライドの修正
　・提案方式のスライドにマトリクスが時系列で重なっているイメージ図を仮追加
　・実験の規模（コミット期間・プロジェクト数）を追記",1486038232.000011
kumada,"2017/02/02作業報告
・スライドの修正（実験環境/方法/結果を除く）
・やること
文章の表現が統一されていない部分について修正します．
スライド全体を発表を聞く人の立場を考えて作ります．",1486037921.000010
shimizu,"2017 /02/02 作業報告
・提案方式を短くまとめるよう修正
・実験結果の表に入力、出力の両方を載せるように変更
・実験考察にうまくいった内容の考察を追加",1486032164.000009
otaki,"<@U0JAJP7CY|otaki> uploaded a file: <https://kait-takanolab.slack.com/files/otaki/F40JL6KHD/pasted_image_at_2017_02_02_06_27_pm.png|Pasted image at 2017-02-02, 6:27 PM>",1486027681.000008
otaki,"2017/02/02　作業報告
・料理レシピ動画と料理レシピ文章の対比を示す図の作成
→下に添付
・研究背景の修正
→話の飛躍をなくせるように修正
・関連研究
→フォントサイズ修正，修正に伴い各関連研究につけていた補足説明は口頭に回す",1486027672.000007
takahashim,"2017/02/01　作業報告
指摘された場所を直しました。
文章が長いところはまだ直せていません。",1486027595.000004
takahashim,"2017/02/01　作業報告
・提案システムに説明を追加
まだ説明の文字が多いため、箇条書きなどにし、見た人にわかりやすくします。
・実験結果の貼り付け
・台本作成
最初のほうだけ書きました。",1486020997.000002
takahashim,"2017/02/01　作業報告
-スライドの修正
フォントサイズの変更など、細かいところの修正を行いました。",1485949584.000004
tsukiji,"2017/02/01 作業報告
スライドの修正
　提案手法のスライドが8枚あるので専門分野の抽出と可視化のスライドを1枚に圧縮
　1枚目の背景を削除し，2枚目以降の内容を背景として調整
　考察のスライドを削除し，実験結果に埋めるような演出にする予定(イメージは高橋君のスライドの変化みたいなものを構想)

あした行う事
考察を入れる
分かりやすい具体例(課題あたりに価格.comとの違いを入れる)",1485949566.000003
t.kasai,"2017/02/01 作業報告
・スライドの修正
　・発表後の意見を一部反映（スライド番号、実験結果の凡例、提案手法のイメージ図の追加等）",1485947382.000002
kumada,"2017/01/31作業報告
・発表用スライドの修正
　スライドのズレやフォントサイズを修正
・卒論の修正
　実験考察と実験の章を修正しました。
　・考察で図がきちんと参照されていない
　・考察の書き直しと再実験
卒論の方は修正が終わってないのでアップしていません
発表用スライドは1月31日にアップしました。",1485858327.000003
shimizu,"2017/01/31 作業報告
・発表用スライドの修正
　・提案方式の特徴を修正
　・単語リストを表に修正，合計単語数を追加
　・実験結果に例文と使用した相関ルールを追加
　・まとめと今後の展望を追加",1485857860.000002
kumada,"2017/01/30作業報告
・テンプレを元にスライドの作成をしました。
・卒論の考察とむすびを書き直しています。",1485778168.000002
tsukiji,"2017/01/30 作業報告
・スライドの整形
研究室で統一したテンプレートに自分の発表スライドを反映させました．この修正したものは今日の日付のonedriveフォルダに入れました．また予備スライドとして，実装に関するスライドを追加しました．
・要項の書き始め
卒論要項を作り始めました．まだはじめにと提案方式の図，実験概要とまとめのみ要項に加えました．あしたに一度ただ張り付けた状態で全て反映させたいと考えています．未完ですが一応onedriveにアップしておきました",1485769913.000007
terada,"201701/29 作業報告
・卒研スライドのテンプレを反映
・関連研究の追加
・システム構成図の修正",1485769902.000006
otaki,"2017/01/30　作業報告
・調理器具認識
→追加実験の実行．料理レシピ動画からそれぞれ追加で4枚ずつ認識実験を行った
・スライド
→実験1と実験2の実験結果の追加",1485769547.000005
takahashim,"2017/01/30 作業報告
卒研スライドに松本くん作成テンプレを反映
卒研スライドを修正し提案システムまで適当になりました。",1485769328.000004
matsumoto,"2017/01/30 作業報告
･卒研発表用テンプレートの作成
･発表スライドのテンプレート移行
･実験スライドの修正、今後の展望スライドの作成
･端末加速度計測時間の測定",1485768677.000003
shimizu,"2017/0127 作業報告
・参考文献の追加
　・とりあえず一つよさげなのが見つかりました
　　・語の共起頻度の提示と用例文の検索に基づく論文執筆支援システム
・松本テンプレにスライドを移行しました",1485768159.000002
shimizu,"2017/01/27 作業報告
・卒研発表スライドの作成
　・実験の章の未作成部分を追加
　・図の修正",1485512079.000005
t.kasai,"2017/01/27 作業報告
・卒研スライドの作成
　・研究背景から今後の展望まで一通り作成
　・提出までに微修正",1485511854.000004
takahashim,"2017/01/27　作業報告
・卒研スライドの作成、
→この研究の課題、関連研究を記載",1485509895.000003
otaki,"2017/01/27　作業報告
・卒研発表スライドの作成
→研究目的，関連研究，提案方式，実験1と実験2の環境と方法を一部記述
→実験結果は現在改めて取得中",1485509404.000002
shimizu,"2017/01/26 作業報告
・卒研発表スライドの作成
　・背景，提案方式を卒論の完成版に合わせて修正
　・実験の章を追加し，実装は短くしてそちらに移動
　・進捗報告やメモ書きのスライドを削除
実験結果と実験考察，図の修正は明日やる予定です",1485428327.000006
tsukiji,備忘録：実装は実験で軽く触れるといいかも＋実装について簡単な説明を予備スライドにつける,1485423494.000005
tsukiji,onedriveの卒論フォルダ内に発表スライドを置く場所を作成しました,1485422906.000004
tsukiji,"2017/01/26 作業報告
・卒研スライドの作成
研究会で使用したスライド、セミナーのスライド、卒論をもとに作成しました。
研究背景から今後の展望まで一連の内容をスライドに反映させました。
現状修正する点として、以下を行う予定です。
１：スライド枚数が多い(26枚)
２：実験結果のまとめ方が未完成(スライド内に卒論の考察の長文が残っているなど)",1485422683.000003
t.kasai,"2017/01/26 作業報告
・卒研発表スライドの作成
　・卒論の内容を大まかに反映
　・明日、より具体的な文章・図を記述",1485422237.000002
