id,text,ktakano,H-tsukiji,kaseiaoki,shohei516,kohei1110
48,テスト,0,0,0,0,0
49,の点が,0,0,0,0,0
50,上がった！,0,0,0,0,0
52,学習意識の改善,0,0,0,0,0
54,苦手意識の緩和・学習への動機付け,0,0,0,0,0
55,算出した地域別正答率（聞き取り,0.195180015,0.075217741,0.202030509,0,0.179284291
56,やすさ）の高い順に地域を推薦,0.115470054,0,0,0,0
57,Figure,0,0,0,0,0
58,提案システムによる地域の推薦,0.25819889,0,0,0,0.079056942
60,学習意識の,0,0,0,0,0
61,改善,0,0,0,0,0
62,聞き取れる！,0,0,0,0,0
63,楽しい！,0,0,0,0,0
65,学習継続率の向上,0,0,0,0,0.237170825
66,これなら,0,0,0,0,0
67,続けられる！,0,0,0,0,0
70,システム,0,0,0,0,0
71,を利用し,0.182574186,0.140719509,0.377964473,0,0.223606798
72,継続して学習,0.149071198,0.114896998,0.3086067,0,0.273861279
74,リスニング力の向上,0,0,0,0,0.182574186
75,しない順序で学習する方法）とでの，学習状況,0.114755062,0.099503719,0.178174161,0,0.158113883
77,学習意識の変化を比較するこ,0.070272837,0.040622223,0,0,0.064549722
78,とにより，提案システムの有用性を検証する．,0.13012001,0.037608871,0,0,0.179284291
79,Figure ,0,0,0,0,0
80,音源と問題の種類,0,0.04975186,0,0.150755672,0.079056942
82,地域,0.172132593,0,0,0,0
83,女性,0,0,0,0,0
84,男性,0,0,0,0,0
85,合計,0,0,0,0,0
86,日本,0,0,0,0,0
87,タイ,0,0,0,0,0
88,ベトナム,0,0,0,0,0
89,インドネ,0,0,0,0,0
90,シンガ,0,0,0,0,0
91,合計,0,0,0,0,0
92,表,0,0,0,0,0
93,現状の音源数,0,0,0,0,0
94,地域,0.172132593,0,0,0,0
95,女性,0,0,0,0,0
96,男性,0,0,0,0,0
97,日本,0,0,0,0,0
98,タイ,0,0,0,0,0
99,ベトナム,0,0,0,0,0
100,インドネシア,0,0,0,0,0
101,シンガポール,0,0,0,0,0
102,合計,0,0,0,0,0
104,女性,0,0,0,0,0
106,男,0,0,0,0,0
109,テスト問題と被験者,0,0.04975186,0,0.150755672,0.079056942
111,アンケート,0,0.199007438,0,0,0
113,こ,0,0,0,0,0
115,システムによる学習で,0,0.057448499,0,0,0.182574186
117,このステムによる学習では，,0,0,0,0,0
119,このシステムを用いて，継続して学習したいと思うか？,0.163299316,0.125863355,0.338061702,0,0.25
121,音源によって聞き取りやすさに差,0.038490018,0,0,0,0.070710678
122,を感じたか,0,0,0,0,0
124,ベースライン,0,0,0,0,0
126,提案,0.25819889,0,0,0,0.158113883
127,システム,0,0,0,0,0
129,空欄,0,0,0,0,0
130,箇所,0,0,0,0,0
131,をクリック,0,0,0,0,0
133,空欄箇所の単語を表示,0,0,0,0,0
134,DB,0,0,0,0,0
135,に単語が登録,0,0,0,0,0
136,聞き取れなかった空欄箇所,0,0,0,0,0
137,をクリック,0,0,0,0,0
138,正答率算出へ,0,0,0,0,0.091287093
139,Ex,0,0,0,0,0
141,実験方法,0.182574186,0.140719509,0,0,0.223606798
143,以下の点を，ベースラインシステムによる実験結果①と提案システム,0.081649658,0,0,0,0.05
144,による実験結果②とで比較し，②が①を上回ることで，提案システムの,0.260240019,0.075217741,0.202030509,0.113960576,0.179284291
145,有用性を示す．,0,0,0,0,0
147,学習継続率,0,0,0,0,0.182574186
149,英語,0,0,0,0,0
150,リスニング能力の向上,0,0,0,0,0.273861279
151,度合い,0,0,0,0,0
153,学習,0,0,0,0,0
154,意識,0,0,0,0,0
155,の変化,0,0,0,0,0
156,学習継続率,0,0,0,0,0.182574186
159,日（,0,0.199007438,0,0,0
160,システムごと，合計で,0,0,0,0,0
162,日）,0,0.199007438,0,0,0
163,学習に使用する問題数,0.038490018,0.088998832,0,0.134839972,0.070710678
164,実験,0.25819889,0.199007438,0,0,0.316227766
165,内容,0.086066297,0.099503719,0,0,0
166,指定問題数を，,0,0.057448499,0,0.174077656,0
168,日間で解くように指示し，実際にどれくらいの日,0.103799859,0.210010501,0.161164593,0.181818182,0.095346259
169,数で完了するか，また,0.043033148,0.04975186,0,0,0.079056942
170,日どれくらいの問題を解くことができたかを，,0.070272837,0.12186667,0,0.492365964,0
171,それぞれのシステムで比較する．,0.086066297,0.04975186,0,0,0.079056942
172,学習継続率,0,0,0,0,0.182574186
174,Figure,0,0,0,0,0
175,実験の流れ図,0.182574186,0.140719509,0,0,0.223606798
177,ベースラインシステムによる学習,0,0,0,0,0
178,提案システムによる学習,0.149071198,0,0,0,0.091287093
179,解答（,0,0,0,0,0
180,日何,0,0.211079263,0,0,0.111803399
181,問,0,0,0,0,0
182,か，合計何問か）,0,0.057448499,0,0,0.091287093
183,結果,0,0,0,0,0
184,を比較,0.086066297,0,0,0,0
185,実験結果,0,0,0,0,0
186,（提案システム）,0.182574186,0,0,0,0.111803399
187,実験結果,0,0,0,0,0
188,（ベースライン）,0,0,0,0,0
189,リスニング能力,0,0,0,0,0.223606798
191,１～２日（ベースライン,0,0.088998832,0,0,0
192,日・提案システム,0.149071198,0.114896998,0,0,0.091287093
193,日）,0,0.199007438,0,0,0
194,学習とテストに使用する問題数,0.032530002,0.075217741,0,0.113960576,0.119522861
196,テスト：,0,0,0,0,0
197,問～,0,0,0,0,0
198,実験内容,0.243432248,0.211079263,0,0,0.223606798
199,提案システムによる学習後に実施するテストの正答率と，,0.114755062,0.066335813,0,0,0.158113883
200,ベースラインシステムによる学習後に実施するテストの正答率を比較する．,0.069006556,0.079780463,0,0,0.126773138
201,リスニング能力,0,0,0,0,0.223606798
203,Figure,0,0,0,0,0
204,実験の流れ図①,0.182574186,0.140719509,0,0,0.223606798
205,①ベースラインのシステム,0,0,0,0,0
206,による学習,0,0,0,0,0
207,②テスト実施（,0,0,0,0,0
208,回目）,0,0.211079263,0,0,0
209,③提案システムによる学習,0.149071198,0,0,0,0.091287093
211,テスト実施（,0,0,0,0,0
212,回目）,0,0.211079263,0,0,0
214,テスト,0,0,0,0,0
215,の正答率を比較,0.049690399,0,0,0,0.091287093
216,実験手順,0.243432248,0.140719509,0,0,0.223606798
218,リスニング能力,0,0,0,0,0.223606798
221,テスト問題の実施方法,0,0.04975186,0,0.150755672,0
223,音源,0,0,0,0,0
225,ソース（,0,0,0,0,0
226,TOIEC,0,0,0,0,0
227,鬼の変速リスニング）の音源を使用,0,0,0,0,0.070710678
228,被験者,0,0,0,0,0
229,提案,0.25819889,0,0,0,0.158113883
230,システム,0,0,0,0,0
231,正答率の平均,0,0,0,0,0.091287093
232,#NAME?,0,0,0,0,0
233,テスト問題（,0,0.070359754,0,0.213200716,0
234,問,0,0,0,0,0
,,,,,,
,,7.71482406,5.482947373,3.283531064,2.040697155,9.573864813
