id,text,toC1421,H-tsukiji
76,ー,0,0
77,ー,0,0
78,聞き取りやすさ：〇〇,0,0
79,聞き取りやすさ：〇〇,0,0
80,自分の聞き取りやすい,0,0.08247861
81,地域・発音の認知,0,0.16495722
83,学習意識の向上,0,0.08247861
84,継継続率の向上,0.150755672,0
85,聞き取りやすさの高い地域発音,0,0.116642369
86,英語から段階的に学習する方法,0,0.161984774
87,地域発音英語,0,0.16495722
89,聞き取りやすさを算出,0,0
90,学習者,0,0.101015254
91,学習者,0,0.101015254
92,出題数変更機能,0,0
93,聞き取,0,0
94,りやすさ,0,0
96,聞き取りやすさ算出機能,0,0
98,算出,0,0
99,した,0,0
100,地域別正答率,0.301511345,0.142857143
101,を「聞き取りやすさ」とする．,0,0.08247861
102,正答率,0.426401433,0
104,地域発音英語による,0,0.16495722
105,学習の履歴,0,0.101015254
106,から，,0,0
107,問題,0,0
108,別,0,0.142857143
109,やセッション別の,0,0.101015254
110,正答率ではなく，,0.426401433,0
111,地域発音英語の地域別に算出した,0,0.142857143
112,正答率,0.426401433,0
113,のこと,0,0.142857143
115,の手順に従って，地域別正答率,0.269679945,0.127775313
117,聞き取りやすさ,0,0
119,を算,0,0
120,出する．,0,0.101015254
121,地域別正答率＝聞き取りやすさ．,0.246182982,0.116642369
122,提案する学習方法の実現,0,0.383325939
124,提案する学習方法,0,0.428571429
126,聞き取りやすさの高い地域,0,0.063887656
127,発音英語から，段階的に学習させるよ,0,0.101015254
128,う,0,0
129,な英語,0,0
130,リスニング学習方法,0,0.16495722
133,算出された聞き取りやすさの高い順に，地域発音英語ごとの出題数,0,0.071428571
134,を算出し，その出題数に応じて，学習者にその地域発音英語音声を,0,0.110656667
135,用いた問題を出題することにより，実現．,0,0.174963553
136,出題数変更機能,0,0
137,学習させる地域として判定,0,0.127775313
138,音声での問題を多く含むように出題数を算出．,0,0
139,パターンは,0,0
140,個を求めたい地域,0,0.08247861
141,c,0,0
142,の，正答率の順,0.348155312,0
143,位を,0,0
144,個とする．,0,0.101015254
145,出題数変更機能,0,0
146,X=..×(.....)/ (........,0,0
148,地域,0,0.142857143
149,別,0,0.142857143
150,正答率にあまり差がない場合でも，出題する音声の地域,0.181818182,0.086146098
151,ごとの問題数を変えてしまう．,0,0
152,別,0,0.142857143
153,正答率に大きく差が出た場合でも，出題問題数毎に一定,0.174077656,0
154,割合は，差の大きな両社とも出題される,0,0
156,地域,0,0.142857143
157,地域別正答率,0.301511345,0.142857143
158,C,0,0
159,％,0,0
160,C,0,0
161,％,0,0
162,C,0,0
163,％,0,0
164,出題数変更機能,0,0
165,音声での問題を多く含むように出題,0,0
166,数,0,0
167,を算出．,0,0
168,パターンは,0,0
169,個を求めたい地域,0,0.08247861
170,c,0,0
172,正答率を,0.426401433,0
173,c,0,0
174,出題数変更機能,0,0
175,X=..×......../ ..........,0,0
178,地域,0,0.142857143
179,別,0,0.142857143
180,正答率にあまり差がない場合，出題する音声の地域ごと,0.181818182,0.086146098
182,出題,0,0
183,数は一定になる．,0,0
184,地域,0,0.142857143
185,別,0,0.142857143
186,正答率に大きく差が出た場合は,0.246182982,0
188,その,0,0
189,差,0,0
190,に応じて，出題数,0,0
191,も変わる,0,0
193,地域別正答率が低い地域の出題数が激減する,0.174077656,0.16495722
196,C=,0,0
197,",C=",0,0
198,C=,0,0
199,",C=",0,0
200,",C=",0,0
201,出題数変更機能,0,0
202,実装①,0,0
203,地域別正答率を算出する機能．,0.227921153,0.161984774
204,地域の出題数,0,0.08247861
205,実装②,0,0
206,出題数,0,0
207,X=..×../ (........,0,0
209,実装,0,0
212,正答率の比率の高い,0.301511345,0
213,地域,0,0.142857143
214,の音声を多く出題,0,0
216,パターン,0,0
219,正答率の比,0.348155312,0
220,率,0.301511345,0
221,の低い地域の音声を多く出題,0,0.063887656
223,パターン,0,0
224,の逆,0,0
226,出題数,0,0
227,X=..×(.........)/(..×). ..........,0,0
230,実装,0,0
233,穴埋め問題生成機能,0,0
235,オプション：全空欄,0,0
236,オプション：頭文字表示,0,0
237,オプション：ランダム,0,0
238,実装,0,0
240,音声,0,0
241,別,0,0.142857143
242,正答率算出機能,0.301511345,0
243,解答を送信,0,0
244,正答率を,0.426401433,0
245,算出,0,0
246,し,0,0
247,DB,0,0
248,に格納,0,0
249,(EX:,0,0
253,正答率）,0.426401433,0
254,聞き取れなかった,0,0
255,空欄をクリック,0,0
256,チェック,0,0
257,のついた単語は,0,0
258,DB,0,0
260,格納,0,0
261,に.が入る,0,0
262,.は付け外し可能,0,0
263,学習履歴,0,0.101015254
264,DB,0,0
265,生成,0,0
266,された,0,0
267,穴埋め問題,0,0
268,実装⑥,0,0
269,解答表示機能,0,0
270,クリック,0,0
271,スクリプト,0,0
272,が,0,0
273,表示される,0,0
274,ースラインとなるシステムによる,0,0.16495722
275,学習方法とでの，正答率や継続率，学習意識の変化を比較することにより，,0.226133508,0.178571429
276,を多く出題する,0,0.08247861
277,方法,0,0.142857143
279,パターン,0,0
280,の逆,0,0
282,地域を多く出題する,0,0.142857143
283,方法,0,0.142857143
285,パターン,0,0
286,の逆,0,0
288,実験結果とを比較し，それぞれのシステムによる学習が，,0,0.202030509
289,日前後（,0,0
,,,
,,7.14243521,10.84936035
