id,text,H-tsukiji,ktakano,sunya9,toC1421,kaseiaoki,unblee,shohei516,unblee
79,出．,0,0,0,0,0,0,0,0
80,地域推薦,0.121267813,0,0,0,0,0,0,0
81,算出,0,0.188982237,0,0,0,0,0,0
82,した地域,0.121267813,0.06681531,0,0.098058068,0,0,0,0
83,別正答率,0,0.054554473,0,0,0,0,0,0
84,から,0,0,0.162221421,0,0,0,0,0
86,以下,0,0,0,0,0,0,0,0
87,のように学習者に適した地域を推薦．,0.070014004,0.077151675,0,0,0,0,0,0
88,提案システムによる地域推薦,0.085749293,0.141736677,0,0,0.129099445,0,0,0
89,方法,0.171498585,0.188982237,0,0,0,0,0,0
90,が一定以上になった地域を判定,0.070014004,0,0,0,0,0,0,0
92,判定された地域は推薦から除外,0.064820372,0,0.122627868,0.104828484,0,0,0,0.125988158
93,聞き取りやす,0,0,0,0,0,0,0,0
94,い,0,0.094491118,0.162221421,0.138675049,0,0,0.25,0
95,地域発音,0.121267813,0,0,0,0,0,0,0
96,英語の音声から順に学習,0.153392998,0.126773138,0.072547625,0,0,0,0,0
97,地域別正答率（聞き取りやすさ）,0.070014004,0.038575837,0,0,0,0,0,0
98,の高い順に，地域を推薦,0.085749293,0,0,0,0,0,0,0
99,Figure,0,0,0,0,0,0,0,0
100,提案システムによる地域の推薦,0.085749293,0.141736677,0,0,0.129099445,0,0,0
101,Ex),0,0,0,0,0,0,0,0
102,地域推薦の例,0.198029509,0.054554473,0,0,0,0,0,0
103,OR,0,0,0,0,0,0,0,0
104,学習する方法）とでの，学習者の英語リスニング能力と学習意識の変化を比較,0.157377895,0.28181074,0.037216146,0,0,0.164817129,0,0
105,することにより，提案システムの有用性を検証する．,0,0.239045722,0.102597835,0,0.081649658,0.113592367,0,0
108,テスト問題,0,0,0.114707867,0.098058068,0,0,0.176776695,0
109,被験者データ,0,0,0,0,0,0,0,0
110,表,0,0.094491118,0,0.277350098,0,0,0,0
111,テストに使用する問題一覧,0,0.042257713,0.14509525,0.062017367,0,0.080321933,0.111803399,0
112,英文番号,0,0,0,0,0,0,0,0
113,タイトル,0,0,0,0,0,0,0,0
114,ソース,0,0,0,0,0,0,0,0
115,時間,0,0,0,0,0,0,0,0
116,英単語数,0,0,0,0,0,0,0,0
117,イケてる管理職セミナー,0,0,0,0,0,0,0,0
118,TOEIC,0,0,0,0,0,0,0,0
119,テスト,0,0,0,0,0,0,0,0
120,Part&,0,0,0,0,0,0,0,0
121,鬼の変速リスニング,0,0.054554473,0,0,0,0,0,0
122,約,0,0,0,0,0,0,0,0
124,「ビーバーカーソーへようこそ」,0,0,0,0,0,0,0,0
125,TOEIC,0,0,0,0,0,0,0,0
126,テスト,0,0,0,0,0,0,0,0
127,Part&,0,0,0,0,0,0,0,0
128,鬼の変速リスニング,0,0.054554473,0,0,0,0,0,0
129,約,0,0,0,0,0,0,0,0
130,s,0,0,0,0,0,0,0,0
131,「大家さん、ちょっと待って」,0,0,0,0,0,0,0,0
132,TOEIC,0,0,0,0,0,0,0,0
133,テスト,0,0,0,0,0,0,0,0
134,Part&,0,0,0,0,0,0,0,0
135,鬼の変速リスニング,0,0.054554473,0,0,0,0,0,0
136,約,0,0,0,0,0,0,0,0
138,実験環境,0.121267813,0.267261242,0,0.098058068,0.182574186,0.127000127,0,0
139,アンケート内容,0,0,0,0,0.182574186,0,0,0
141,英語リスニングに対して苦手意識があったか？,0.129640745,0.071428571,0.061313934,0,0,0,0,0
143,英語リスニングに対して興味があるか,0.085749293,0.094491118,0,0.069337525,0,0,0,0
145,楽しいか？,0.121267813,0,0,0,0,0,0,0
147,推薦,0,0,0,0,0,0,0,0
148,された地域の音声は，聞き取りやすかったか？,0.129640745,0,0.061313934,0.104828484,0,0,0,0.125988158
150,提案システムを用いて，引き続き学習したいと思うか？,0,0.214285714,0,0.052414242,0.097590007,0,0,0
152,①で苦手意識があったと答えた人,0.076696499,0,0.072547625,0,0,0,0,0
154,提案システムによる学習で,0,0.236227796,0,0,0.129099445,0.089802651,0,0
157,苦手意識は改善したか？,0,0.047245559,0,0.069337525,0,0,0,0
159,②で英語学習に興味がないと答えた人,0,0,0.072547625,0,0.115470054,0,0,0
161,提案システムによる学習で,0,0.236227796,0,0,0.129099445,0.089802651,0,0
162,は，英語リスニングに興味が湧く,0.085749293,0.094491118,0,0,0,0,0,0
164,英語リスニングが楽しいと思えた,0.076696499,0.084515425,0,0,0,0,0,0
166,実験,0.171498585,0.283473355,0,0.138675049,0.25819889,0.179605302,0,0
169,従来方式による学習実施後に行うテストの正答率の変化①と，,0.108465229,0.119522861,0,0,0,0.113592367,0,0
170,提案システムによる学習実施後に行うテストの正答率の変化②,0,0.179284291,0,0,0.081649658,0,0,0
171,を比較し，②の正答率の変化が①のそれを上回ることで，,0,0.100222966,0,0.049029034,0,0.127000127,0,0
172,提案システムの有用性を示す．,0,0.211288564,0,0,0.115470054,0.080321933,0,0
174,従来方式による学習実施時における学習継続率③と，,0.108465229,0.209165007,0,0,0,0.113592367,0,0
175,提案システムによる学習実施時における学習継続率④を比較し，,0,0.300049599,0,0.040032038,0.074535599,0.103695169,0,0
176,④の結果が③のそれを上回ることで，提案システムの有用性を示す,0.057166195,0.188982237,0,0,0.086066297,0.059868434,0,0
179,提案システムを用いた学習による，学習者の学習意識の変化（英語,0.042874646,0.236227796,0,0,0.064549722,0,0,0
180,学習への動機付けや，苦手意識の改善等）をアンケートによって,0,0.071428571,0,0,0,0,0,0
181,明らかにすることにより，提案システムの有用性を示す．,0,0.200445931,0.057353933,0,0.091287093,0.127000127,0,0
182,実験,0.171498585,0.283473355,0,0.138675049,0.25819889,0.179605302,0,0
185,実験手順,0.121267813,0.267261242,0,0.098058068,0.182574186,0.254000254,0,0
188,実験の流れ,0.121267813,0.200445931,0,0.098058068,0.182574186,0.127000127,0,0
189,Figre ,0,0,0,0.138675049,0,0,0,0
190,実験の流れ図,0.121267813,0.200445931,0,0.098058068,0.182574186,0.127000127,0,0
191,被験者,0,0,0,0,0,0,0,0
192,①従来方式による学習,0.198029509,0.163663418,0,0,0,0.207390339,0,0
193,従来システム,0.121267813,0.200445931,0,0,0.182574186,0.254000254,0,0
194,②テスト実施（,0,0,0,0,0,0,0,0
195,回目）,0,0,0,0,0,0,0,0
196,③提案システムによる学習,0,0.272772363,0,0,0.149071198,0,0,0
197,提案,0,0.094491118,0,0,0,0,0,0
198,システム,0,0.188982237,0,0,0.25819889,0,0,0
200,テスト実施（,0,0,0,0,0,0,0,0
201,回目）,0,0,0,0,0,0,0,0
202,⑤アンケート実施,0,0,0,0,0,0,0,0
203,実験,0.171498585,0.283473355,0,0.138675049,0.25819889,0.179605302,0,0
206,実験手順,0.121267813,0.267261242,0,0.098058068,0.182574186,0.254000254,0,0
208,従来方式,0.242535625,0.06681531,0,0,0,0.254000254,0,0
210,ランダム（学習者の聞き取りやすさを考慮しない）な順番で学習,0,0.136386181,0.046829291,0.120096115,0,0,0,0.096225045
211,音源,0,0,0,0,0,0,0,0
213,集めた,0,0,0,0,0,0,0,0
214,か国分音声＋音声ソースの音源からランダム,0.11433239,0,0.054073807,0,0,0,0,0
216,問題数,0,0,0.114707867,0.098058068,0,0,0.176776695,0
219,問（同じ問題が連続して出題されないように調整）,0,0.05976143,0.102597835,0.175411604,0,0,0.079056942,0.105409255
220,音声をランダムに問題提供,0.085749293,0,0.081110711,0.069337525,0,0,0.125,0
221,被験者,0,0,0,0,0,0,0,0
222,Figre ,0,0,0,0.138675049,0,0,0,0
223,従来方式の概要図,0.171498585,0.047245559,0,0,0,0.179605302,0,0
224,正答率を算出,0,0.163663418,0,0,0,0,0,0
225,ランダム,0,0,0,0,0,0,0,0
226,な音声の,0.171498585,0,0,0,0,0,0,0
227,順番,0,0,0,0,0,0,0,0
228,で,0,0,0,0,0,0.179605302,0,0
229,学習,0,0.188982237,0,0,0,0,0,0
230,実験⑧,0.171498585,0.283473355,0,0.138675049,0.25819889,0.179605302,0,0
231,実験手順,0.121267813,0.267261242,0,0.098058068,0.182574186,0.254000254,0,0
232,方式,0.171498585,0,0,0,0,0,0,0
234,学習者が聞き取りやすい地域発音英語の順番で学習,0.103417538,0.142450721,0,0,0,0,0,0
236,音源,0,0,0,0,0,0,0,0
238,集めた,0,0,0,0,0,0,0,0
239,か国分の音声,0.121267813,0,0,0,0,0,0,0
241,問題数,0,0,0.114707867,0.098058068,0,0,0.176776695,0
244,問（同じ問題が連続して出題されないように調整）,0,0.05976143,0.102597835,0.175411604,0,0,0.079056942,0.105409255
246,正答率が,0,0.06681531,0,0,0,0,0,0
247,％以上になると，次の地域に移行,0.070014004,0,0,0,0,0,0,0
248,提案方式,0.121267813,0.06681531,0,0,0,0,0,0
249,解答,0,0,0,0,0,0,0,0
250,被験者,0,0,0,0,0,0,0,0
251,Figre,0,0,0,0.138675049,0,0,0,0
252,提案,0,0.094491118,0,0,0,0,0,0
253,方式の概要図,0.099014754,0,0,0,0,0,0,0
254,正答率を算出,0,0.163663418,0,0,0,0,0,0
255,聞き取りやすい地域を推薦,0.085749293,0,0,0,0,0,0,0
256,聞き取りやすい,0,0,0,0,0,0,0,0
257,地域発音から学習,0.085749293,0.094491118,0.081110711,0,0,0,0,0
258,実験,0.171498585,0.283473355,0,0.138675049,0.25819889,0.179605302,0,0
261,実験手順,0.121267813,0.267261242,0,0.098058068,0.182574186,0.254000254,0,0
264,テスト問題の実施方法,0.085749293,0.094491118,0.081110711,0.069337525,0,0,0.125,0
265,被験者,0,0,0,0,0,0,0,0
266,提案,0,0.094491118,0,0,0,0,0,0
267,システム,0,0.188982237,0,0,0.25819889,0,0,0
268,正答率の平均,0,0.054554473,0,0,0,0,0,0
269,#NAME?,0.121267813,0.06681531,0,0,0,0,0,0
270,テスト問題（,0,0,0.114707867,0.098058068,0,0,0.176776695,0
271,問）を提供,0,0,0,0,0,0,0,0
272,（空欄数と空欄箇所固定）,0,0,0,0,0,0,0,0
273,Figure ,0,0,0,0,0,0,0,0
274,テスト実施の流れ図,0,0,0,0,0,0,0,0
,,,,,,,,,
,,8.275213465,14.42898655,3.451793336,4.940011263,5.883479617,5.236249684,2.300086182,0.800541102
