id,text,ktakano,toC1421,H-tsukiji
206,C,0,0,0
207,パターン２,0.114707867,0,0.159111457
208,地域,0.081110711,0.105999788,0
209,出題数,0.114707867,0.224859507,0.079555728
210,出題数,0.114707867,0.224859507,0.079555728
211,C,0,0,0
212,C,0,0,0
213,C,0,0,0
214,順位,0,0,0
217,C,0,0,0
219,順位,0,0,0
223,例,0,0,0
225,正答率に差がない場合,0,0,0
226,例,0,0,0
228,正答率に差がある場合,0.036273813,0,0
229,提案,0.081110711,0,0
230,システム,0.081110711,0.105999788,0
231,を用いた学習設計,0,0,0
232,提案システムを用いることで，以下のような学習方法が考えられる．,0.102597835,0.033520076,0.177892017
234,聞き取りやすい（聞き取りやすさの高い,0.028676967,0,0
235,）地域,0.081110711,0.105999788,0
236,発音,0.081110711,0,0
237,を持つ地域の,0.057353933,0.074953169,0
238,音声を用いた問題を多く,0,0.158999682,0
239,出,0,0,0
240,題する学習方法．,0.046829291,0,0
242,聞き取りづらい（聞き取りやすさの低い）地域発音を持つ地域の,0.086710997,0.05665927,0
243,音声を用いた問題を多く出題する学習方法,0.0860309,0.187382922,0.039777864
244,提案,0.081110711,0,0
245,システム,0.081110711,0.105999788,0
246,を用いた学習設計,0,0,0
247,学習意識の向上,0,0,0
248,継継続率の向上,0,0,0
249,聞き取りやすさの高い地域発音,0.099339927,0.043274232,0
250,英語から段階的に学習する方法,0.091970901,0.080128308,0
251,英語リスニングに対する,0,0,0
252,学習意識を持つ学習者,0,0,0
253,英語リスニング,0,0,0
254,能力の向上,0,0,0
255,聞き取りやすさの,0.046829291,0,0
256,低,0,0,0
257,い地域発音,0.093658581,0.061199006,0
258,英語から段階的に学習する方法,0.091970901,0.080128308,0
259,英語リスニングに,0,0,0
260,苦手意識がある学習者,0.036273813,0,0
261,学習による効果が期待される可能性がある,0.135184518,0,0.03750293
262,学習による効果が期待されない可能性がある,0.135184518,0,0.03750293
263,X=..×../σ(........,0,0,0
264,X=..×(.........)/(..×).σ..........,0,0,0
265,実験環境,0.1720618,0,0.159111457
267,実験で使用す,0.162221421,0,0.11250879
269,データ,0,0,0
271,実験,0.243332132,0,0.22501758
272,環境,0,0,0
273,被験者データ,0,0,0
274,実験,0.243332132,0,0.22501758
275,で比較,0.057353933,0,0.159111457
276,する,0.081110711,0.211999576,0
277,学習,0,0,0
278,方法,0.081110711,0,0
279,提案システムを用いた,0.093658581,0.061199006,0
280,地域別正答率の順位の高い地域を多く出題する方法,0.112480318,0.117596206,0.031204324
281,地域別正答率の比率の高い地域を多く出題する方法,0.112480318,0.117596206,0.031204324
282,ベースラインシステムを用いた,0.040555355,0.052999894,0
284,地域別正答率の順位,0.036273813,0.047404546,0
286,低,0,0,0
287,い地域,0.057353933,0.074953169,0
288,を多く出題する,0.093658581,0.122398012,0.06495698
289,方法,0.081110711,0,0
291,地域別正答率の比率,0.036273813,0.047404546,0
292,の低い,0,0,0
293,地域を多く出題する,0.121666066,0.158999682,0.056254395
294,方法,0.081110711,0,0
296,ランダムに出題する方法,0.121666066,0.105999788,0.056254395
297,地域別正答率を考慮しない,0.099339927,0.043274232,0.091863042
298,実験概要,0.1720618,0,0.159111457
300,提案システムのプロトタイプを用いて，以下の項目に着目した,0.143384834,0.037476584,0.079555728
301,実験,0.243332132,0,0.22501758
303,行い，提案システムおよび提案する学習方法の実現可能性を検証する．,0.118033421,0.128543624,0.02728739
305,そ,0,0,0
306,れぞれの学習方法の評価項目,0.072547625,0,0
308,学習継続率,0,0,0
310,正答率,0,0,0
312,学習,0,0,0
313,意識,0,0,0
314,の変化,0,0,0
315,実験①,0.243332132,0,0.22501758
316,実験目的,0.1720618,0,0.159111457
318,評価項目のうち，以下の二つに着目する．,0.091970901,0.080128308,0
320,学習継続率,0,0,0
322,正答率,0,0,0
324,ベースラインシステム，提案システムそれぞれを用いた学習方法,0.097823198,0.063920277,0
325,による学習を被験者に対して,0,0,0
326,実施,0,0,0
327,し，,0.162221421,0,0.22501758
328,着目,0.081110711,0,0
329,する評価項目について，,0.093658581,0.122398012,0
330,実験結果を比較し，考察を行う．,0.165566545,0,0.321520649
331,実験①,0.243332132,0,0.22501758
332,実験方法,0.229415734,0,0.159111457
334,学習継続率については，以下の点に着目して考察を行う．,0.108147614,0,0.07500586
336,指定問題数を解き終わるまでの日数，時間．,0.030656967,0.240384924,0
338,回,0,0,0
339,のログインで解答数．,0.046829291,0.183597018,0
340,日,0,0,0
341,のログイン時間．,0,0,0
343,正答率については，以下の点に着目して考察を行う．,0.114707867,0,0.079555728
345,最小正答率と最大正答,0,0,0
346,率の差（地域別・パターン別）,0.057353933,0.037476584,0.079555728
349,正答,0,0,0
350,率,0,0,0
351,の増加傾向・下降,0,0,0
352,傾向（地域別・パターン別）,0.061313934,0.040064154,0.085048651
355,全解答での平均正答率（地域別・パターン別）．,0.048911599,0.063920277,0.067845353
357,実験手順,0.1720618,0,0.159111457
359,判定フェーズを実施．,0.093658581,0,0
361,提案システムによる学習を実施,0.081110711,0.052999894,0
364,ベースラインシステムによる学習を実施,0.036273813,0.047404546,0
365,聞き取りやすさ判定フェーズ：,0.108821438,0,0
366,実験①,0.243332132,0,0.22501758
367,実験手順,0.1720618,0,0.159111457
369,聞き取りやすさ判定フェーズでは，学習者毎の聞き取りやすさ,0.062828086,0,0
370,を判定するため、地域ごとの問題数を一定にして,0.162221421,0.317999364,0.07500586
371,出題する,0.114707867,0.149906338,0.079555728
372,全部で,0,0,0
373,P,0,0,0
374,問出題するとき，,0.081110711,0.26499947,0.056254395
375,C,0,0,0
376,個の地域から出題する,0.108821438,0.237022732,0.050315461
377,なら,0,0,0
378,地域の出題数,0.140487872,0.244796025,0.06495698
379,X,0,0,0
381,P/C,0,0,0
382,評価項目のうち，以下の項目について着目する．,0.081110711,0.070666525,0
383,実験①での学習開始前と開始後にアンケートを実施し，それぞれ,0.140487872,0,0.12991396
384,のアンケート結果を比較し，考察を行う．,0.099339927,0,0.229657606
385,英語リスニング学習に対する学習意識の変化．,0,0,0
387,実験データ,0.1720618,0,0.159111457
388,学習前②,0,0,0
389,実験データ,0.1720618,0,0.159111457
390,アンケート内容,0.057353933,0,0.159111457
391,学習後①,0,0,0
392,実験データ,0.1720618,0,0.159111457
393,アンケート内容,0.057353933,0,0.159111457
394,学習後②,0,0,0
395,実験データ,0.1720618,0,0.159111457
396,実験手順,0.1720618,0,0.159111457
397,月予定,0,0,0
,,,,
,,18.32051564,12.16877857,10.30607444
