id,text,toC1421,H-tsukiji,misamatsuoka
197,以下の点を，ベースラインシステム学習時の結果と，提案シ,0.034503278,0.111803399,0
198,ステムによる学習時の結果からそれぞれ算出．,0.041239305,0.04454354,0.075592895
200,指定問題数を解き終わるまでの日数，時間．,0,0.04454354,0
202,日に解答した問題数．,0.048795004,0.158113883,0
204,①と②を統合して「学習継続率」と定義し，そ,0.17251639,0.260874597,0
205,れ,0,0,0
206,ぞれのシス,0,0,0
207,テムによる実験結果から算出した学習継続率を比較し，,0.157485197,0.238144836,0
208,提案システムの有用性を検証する．,0.133630621,0.240562612,0
209,実験①,0.545544726,0.11785113,0.2
210,実験データ,0.385758375,0.083333333,0.141421356
213,実験①,0.545544726,0.11785113,0.2
214,実験手順,0.46291005,0.083333333,0.141421356
215,実施期間,0,0,0
217,日（,0,0,0
218,システムごと，合計で,0,0.136082763,0
219,日）,0,0,0
220,学習に使用する問題数,0.146385011,0.263523138,0
222,ベースライン：,0,0,0
223,問,0,0,0
224,提案システム：,0,0.166666667,0
226,問（,0,0,0
227,地域,0,0,0
228,問，上位,0,0,0
229,地域）,0,0,0
230,被験者,0,0,0
231,ベース,0,0,0
232,ライン,0,0,0
233,システム,0,0.23570226,0
234,提案,0,0,0
235,システム,0,0.23570226,0
236,解答,0,0,0
237,実験結果,0,0,0
239,日何問か，合計何問か,0.069006556,0,0.252982213
241,Figure,0,0,0
242,実験①の流れ図,0.385758375,0.083333333,0.141421356
243,問,0,0,0
244,問,0,0,0
245,それぞれのシステム,0,0.166666667,0.141421356
246,の結果を比較,0,0,0
247,実験②,0.545544726,0.11785113,0.2
248,実験目的・方法,0.314970394,0.068041382,0.115470054
250,評価,0,0,0
251,項目,0,0,0.2
252,「正答率の向上度合い」,0.054554473,0.23570226,0
253,に関する検証,0.109108945,0,0
256,実験①における，ベースラインシステム学習時の正答率の推移,0.254587539,0.353553391,0.066666667
257,a,0,0,0
258,と,0,0,0
259,提案システム学習,0.062994079,0.204124145,0
260,時,0,0,0
261,の正答率の推移,0.062994079,0.340206909,0
262,b,0,0,0
263,をそれぞれ算出．,0,0,0.141421356
265,実験①の，ベースラインシステム,0.272772363,0.176776695,0.1
266,による学習実施後に行う，テスト,0.048795004,0.052704628,0
268,正答率,0.077151675,0.333333333,0
269,a,0,0,0
270,と,0,0,0
271,提案システムによる学習実施後に,0.048795004,0.158113883,0
272,行うテスト,0,0,0
274,正答率,0.077151675,0.333333333,0
275,b,0,0,0
276,をそれぞれ算出．,0,0,0.141421356
278,と,0,0,0
279,で算,0,0,0
280,出した結果（,0,0,0
281,ex:aa),0,0,0
282,を総合して，「正答率の向上度合,0.089087081,0.288675135,0
283,い」と定義．,0,0,0
284,それぞれのシステムにおける向上度合いを比較し，提案システムの,0.034503278,0.223606798,0.063245553
285,有用性を検証する．,0.163663418,0.176776695,0
286,実験②,0.545544726,0.11785113,0.2
287,実験データ,0.385758375,0.083333333,0.141421356
289,テスト問題,0,0.083333333,0
290,テストに使用する問題と音源一覧,0.08247861,0.178174161,0
291,問題番号,0,0.083333333,0
292,単,0,0,0
293,語数,0,0,0
294,「ビーバーカーソー,0,0,0
295,へようこそ,0,0,0
297,実験②,0.545544726,0.11785113,0.2
298,実験手順,0.46291005,0.083333333,0.141421356
300,実施期間,0,0,0
302,実験①と同様，テストは各システム学習終了後に実施,0.21821789,0.15713484,0.066666667
304,テストに使用する問題数,0.097590007,0.210818511,0
306,問,0,0,0
307,被験者,0,0,0
308,ベースライン,0,0,0
309,システムによる学習,0.077151675,0.25,0
310,終了後,0,0,0
312,テスト実施（,0,0,0
313,回目）,0,0,0
314,提案システムによる学習,0.062994079,0.204124145,0
315,終了後,0,0,0
317,テスト実施（,0,0,0
318,回目）,0,0,0
319,Figure,0,0,0
320,実験,0.545544726,0.11785113,0.2
322,の流れ図,0,0,0
323,それぞれのシステム,0,0.166666667,0.141421356
324,の結果を比較,0,0,0
325,実験①での結果,0.385758375,0.083333333,0.141421356
326,（正答率の推移）,0.062994079,0.340206909,0
327,実験②でのテスト結果,0.314970394,0.068041382,0.115470054
328,（テストの正答率）,0.062994079,0.272165527,0
329,実験②,0.545544726,0.11785113,0.2
330,実験手順,0.46291005,0.083333333,0.141421356
332,テスト問題の実施方法,0,0.058925565,0
334,音源,0,0,0
336,ソース（,0,0,0
337,TOIEC,0,0,0
338,鬼の変速リスニング）の音源を使用,0,0,0
339,被験者,0,0,0
340,提案,0,0,0
341,システム,0,0.23570226,0
342,正答率の平均,0.062994079,0.340206909,0
343,#NAME?,0,0,0
344,テスト問題（,0,0.083333333,0
345,問）を提供,0,0,0
346,（空欄数と空欄箇所固定）,0,0,0
347,Figure ,0,0,0
348,テスト実施の流れ図,0,0,0
349,実験③,0.545544726,0.11785113,0.2
350,実験目的・方法,0.314970394,0.068041382,0.115470054
352,評価項目,0,0,0.141421356
353,「学習意識の変化」に関する検証．,0.109108945,0.058925565,0
355,以下の点をアンケートによって明らかにする．,0.097590007,0.158113883,0.089442719
357,学習者の英語リスニング学習に対する苦手意識の変化．,0.069006556,0.111803399,0
359,学習者,0.077151675,0.166666667,0
362,学習意欲の変化．,0.062994079,0.068041382,0
364,学習前,0.077151675,0.083333333,0
365,，ベースラインシステム学習後，提案システムによる,0.036369648,0.19641855,0
366,学習後の,0.077151675,0.083333333,0
367,パターンで算出し，結果を比較,0.04454354,0.096225045,0
368,する,0.21821789,0.353553391,0
371,学習前・,0.077151675,0.083333333,0
373,ースラインシステム学習後の結果,0.04454354,0.144337567,0
375,提案システムの結果での，学習意識の変化を比較し，,0.077151675,0.208333333,0
376,提案システムの有用性を検証する．,0.133630621,0.240562612,0
377,実験③,0.545544726,0.11785113,0.2
378,実験データ,0.385758375,0.083333333,0.141421356
379,英語リスニング学習したことは？またどんな学習をしてきたか？,0.116642369,0.188982237,0.106904497
380,実験③,0.545544726,0.11785113,0.2
381,手順,0.109108945,0,0
382,実施,0,0,0
383,期間,0,0,0
384,実験①の前後,0.385758375,0.083333333,0.141421356
385,実験開始前（内容：学習前）,0.231455025,0.083333333,0.070710678
386,ベースラインシステムによる学習後（内容：学習後）,0.062994079,0.136082763,0
387,提案システムによる学習後（内容：学習後）の,0.065795169,0.142133811,0
388,回,0,0,0
389,アンケート数,0,0,0.141421356
390,８個（内容の詳細は実験データに記載）,0.206196525,0.04454354,0.075592895
391,学習前,0.077151675,0.083333333,0
392,ベースライン学習後,0.054554473,0.058925565,0
393,提案システム学習後,0.054554473,0.176776695,0
394,アンケート結果をそれぞれ比較,0,0,0.2
395,Figure ,0,0,0
396,実験③の概要,0.385758375,0.083333333,0.141421356
397,図,0,0,0
,,,,
,,20.00830328,20.38890952,7.389327263
