id,text,H-tsukiji,toC1421,unblee
179,a,0,0,0
180,正答,0,0.23570226,0
181,率,0.109108945,0.23570226,0
183,推移,0,0.11785113,0
184,問題別・地域別の,0,0.048112522,0
185,正答率の推移,0.062994079,0.340206909,0
186,b,0,0,0
187,学習,0.109108945,0.11785113,0
188,意識,0,0,0
189,の変化,0,0,0
190,実験目的・方法,0.314970394,0.068041382,0.115470054
191,「学習前・,0.077151675,0.083333333,0
192,ースラインシステム学習後」,0.048795004,0.158113883,0
193,「提案システム学習後」での，学習意識の変化を比較する．,0.131590339,0.248734169,0
195,提案システムによる学習の結果,0.054554473,0.176776695,0
196,，苦手意識,0,0,0
197,の改善や学習意欲の,0.062994079,0.068041382,0
198,向,0,0,0
199,上といった，「学習意識の向上」を,0.054554473,0.058925565,0
200,感じた人数が,0.077151675,0,0
202,ベースラインシステム,0,0.136082763,0
203,による学習時のそれより多ければ,0.054554473,0.058925565,0
205,提案,0,0,0
206,システムにより，学習者の学習意識が向上したと言える．,0.098692754,0.248734169,0.060302269
208,実験データ①,0.385758375,0.083333333,0.141421356
209,この質問により明らかにしたいこと,0.048795004,0.105409255,0.089442719
211,学習者のそれまでの英語学習の履歴．実験結果に影響する可能性あり．,0.098692754,0.248734169,0
215,学習開始前の学習者の英語学習に対する学習意識の調査．,0.084515425,0.121716124,0
217,学習前の学習者の英語学習に対する苦手意欲の調査．,0.069006556,0.111803399,0
218,それぞれ,0,0,0.2
219,のシステムによる学習後との,0.062994079,0.204124145,0
220,比較のため．,0,0,0
221,実験③,0.545544726,0.11785113,0.2
222,学習意識の変化,0.062994079,0.068041382,0
224,実験データ②,0.385758375,0.083333333,0.141421356
226,この,0,0,0
227,システムによる学習では,0.062994079,0.204124145,0
228,，苦手,0,0,0
229,意識は改善したか？,0.062994079,0.136082763,0
230,この,0,0,0
231,ステムによる,0,0,0
232,学習によって，英語,0.077151675,0.083333333,0
233,リスニングに興味が湧く,0,0,0
234,英語,0,0,0
235,リスニングが楽しいと思えたか？,0,0,0
236,このシステムを用いて，継続して学習したいと思うか,0.138013112,0.260874597,0
238,この質問により明らかにしたいこと,0.048795004,0.105409255,0.089442719
240,各システム学習後の学習者の英語学習に対する苦手意識の調査．,0.062994079,0.170103454,0
244,各システム学習後の学習者の英語学習に,0.072739297,0.19641855,0
245,対する学習,0.077151675,0.083333333,0
246,意欲,0,0,0
247,の調査．,0,0,0
248,学習開始前との比較のため．,0.048795004,0.052704628,0
249,学習意識の変化,0.062994079,0.068041382,0
251,実験手順,0.46291005,0.083333333,0.141421356
252,実験③,0.545544726,0.11785113,0.2
253,学習意識の変化,0.062994079,0.068041382,0
,,,,
,,12.09875016,16.31984071,3.713591769
