id,text,ktakano,H-tsukiji,shohei516,kaseiaoki,unblee,H-tsukiji,misamatsuoka,toC1421,unblee
43,研究課題,0.136082763,0,0,0,0.144337567,0.335410197,0,0,0
44,英語リスニングに,0.068041382,0.104257207,0,0,0,0,0,0.172773685,0
45,苦手意識がある人,0.144337567,0,0,0,0.102062073,0,0.098058068,0,0
46,こっちのほうが,0,0,0.196116135,0,0,0,0.138675049,0.086386843,0
47,聞き取りやすい！,0.136082763,0.104257207,0,0,0,0,0,0,0
48,聞き取りづらい,0.068041382,0,0,0,0,0,0,0,0
49,聞き取りやすい！,0.136082763,0.104257207,0,0,0,0,0,0,0
50,学習者によって異なる地域発音英語の「聞き取りやすさ」を,0.102062073,0.156385811,0,0,0,0.167705098,0,0.129580264,0
51,計測する機能や、それを用いて学習者に適した音源を推薦し、,0.145064713,0.133366267,0.083624201,0.181818182,0,0.429058165,0.118262479,0.073670947,0
52,英語リスニング学習を支援するシステムは存在していない,0.19245009,0.147441956,0,0,0,0.368932394,0.13074409,0.122169444,0
54,Figure ,0,0,0,0,0,0,0,0,0
55,研究課題の概要図,0.096225045,0,0,0,0.204124145,0.237170825,0,0.183254167,0
56,ー,0,0,0,0,0,0,0,0,0
57,ー,0,0,0,0,0,0,0,0,0
58,ー,0,0,0,0,0,0,0,0,0
59,ー,0,0,0,0,0,0,0,0,0
60,ー,0,0,0,0,0,0,0,0,0
61,ー,0,0,0,0,0,0,0,0,0
62,地域発音英語,0.111111111,0.085125653,0,0,0,0,0,0.070534562,0
64,システム,0,0,0,0,0,0,0,0,0
65,聞き取れる！,0,0,0,0,0,0,0,0,0
66,楽しい！,0,0,0,0,0,0,0,0,0
67,聞き取りやすい地域の音声から学習,0.11785113,0.18057878,0.113227703,0.123091491,0.083333333,0.193649167,0,0.1496264,0
68,学習者,0,0.208514414,0,0,0,0.335410197,0,0.086386843,0
69,によって異なる「地域発音英語の聞き取りやすさ」を,0.11785113,0.060192927,0,0,0,0,0,0.099750934,0
70,計測,0,0,0,0,0,0,0,0,0
71,し，,0.19245009,0,0,0,0,0.158113883,0.39223227,0,0
72,その数値を用いて，学習者に適した音声で学習できるシステムを提案,0.026688026,0.245358246,0.076923077,0,0,0.306970307,0,0.067767415,0
74,苦手意識の改善，英語リスニング学習への動機付け,0.036369648,0.111455643,0,0,0,0.119522861,0,0.138527129,0
75,Figure ,0,0,0,0,0,0,0,0,0
76,提案,0,0,0,0,0,0,0,0,0
77,システム,0,0,0,0,0,0,0,0,0
78,の利点,0,0,0,0,0,0,0,0,0
79,指導者,0,0,0,0,0,0,0,0,0
80,提案システム,0,0,0,0,0,0,0,0,0
81,計測した聞き取りやすさの数値,0.11785113,0,0,0,0,0.064549722,0.240192231,0.099750934,0.123091491
82,学習者のレベルの把握が容易に,0,0.197814142,0,0,0,0.212132034,0,0.054635836,0
83,ここが聞き取れ,0,0,0,0,0,0,0,0,0
84,ていないのか！,0.068041382,0.208514414,0,0,0.144337567,0,0,0.259160528,0
85,提案システム,0,0,0,0,0,0,0,0,0
86,問題,0,0,0,0,0.204124145,0,0,0,0
87,地域推薦機能,0,0,0.160128154,0.348155312,0,0.182574186,0,0,0
88,正答率集計,0,0.170251306,0,0,0,0,0,0,0
89,機能,0,0,0.277350098,0,0,0.158113883,0,0,0
90,集計結果と,0,0.104257207,0,0,0.144337567,0,0,0,0
91,解答を格納,0,0,0,0,0,0,0,0,0
92,推薦情報と共に,0,0,0,0.426401433,0,0.111803399,0,0,0
93,問題選択を表示,0,0,0,0,0.11785113,0,0,0,0
94,集計結果を送信,0,0.085125653,0,0,0.11785113,0,0,0,0
95,問題,0,0,0,0,0.204124145,0,0,0,0
96,表示,0,0,0,0,0,0,0,0,0
97,Figure ,0,0,0,0,0,0,0,0,0
98,提案システムによる学習の概要図,0,0.065938047,0,0,0.091287093,0.141421356,0,0.218543346,0
99,穴埋め問題,0,0,0,0,0.144337567,0,0,0,0
100,生成機能,0,0,0.196116135,0,0,0.111803399,0,0,0
101,指導者,0,0,0,0,0,0,0,0,0
102,学習履歴の取得,0,0.085125653,0,0,0,0.182574186,0,0.070534562,0
103,問題の登録,0,0,0,0,0.144337567,0,0,0,0
104,提案システム,0,0,0,0,0,0,0,0,0
106,穴埋め問題生成機能,0,0,0.138675049,0,0.102062073,0.079056942,0,0,0
108,頭文字を残す場合,0,0,0,0,0,0,0,0,0
110,に登,0,0,0,0,0,0,0,0,0
111,録された英文から，指定単語数分の穴埋めを持つ,0.029012943,0,0,0.090909091,0.061545745,0,0.05913124,0.11050642,0.090909091
112,リスニング用の英文を生成する機能,0.11785113,0,0.113227703,0,0,0.25819889,0,0.049875467,0
113,Ex),0,0,0,0,0,0,0,0,0
114,穴埋め個数が,0,0,0,0,0,0,0,0,0
115,個の場合,0,0,0,0,0,0,0,0,0
116,全部空欄の場合,0,0,0,0,0,0,0,0,0
117,どちらか選択可，,0,0,0,0,0,0,0,0,0
118,mix,0,0,0,0,0,0,0,0,0
119,も可,0,0,0,0,0,0,0,0,0
120,最大の機能,0,0,0.196116135,0,0,0.111803399,0,0,0
121,空欄をクリックするだけ,0.166666667,0,0,0,0,0.273861279,0,0,0
122,で，指導者にその単語を,0,0,0,0,0.102062073,0,0,0,0
123,通知する,0.204124145,0,0,0,0,0.335410197,0,0,0
124,指導者,0,0,0,0,0,0,0,0,0
125,システム,0,0,0,0,0,0,0,0,0
127,算,0,0,0,0,0,0,0,0,0
128,出する．,0.204124145,0,0,0,0,0.335410197,0,0,0
129,正答,0,0.147441956,0,0,0,0,0,0,0
130,率,0,0.147441956,0,0,0,0,0,0,0
131,が高い,0.096225045,0,0,0,0,0,0,0,0
132,#NAME?,0,0.208514414,0,0,0,0.335410197,0,0.086386843,0
134,聞き取りやすい,0.136082763,0.104257207,0,0,0,0,0,0,0
135,提案システム,0,0,0,0,0,0,0,0,0
136,地域推薦機能,0,0,0.160128154,0.348155312,0,0.182574186,0,0,0
137,から，以下の,0,0,0,0.213200716,0.144337567,0,0,0.172773685,0
138,ように推薦．,0.068041382,0,0,0.426401433,0,0.223606798,0,0.086386843,0
139,苦手克服型,0,0,0,0,0,0,0,0,0
140,学習,0,0.147441956,0,0,0,0.316227766,0,0.122169444,0
141,方式,0,0,0,0,0,0,0,0,0
142,推薦された地域発音,0.043033148,0,0,0.269679945,0,0.070710678,0.087705802,0.054635836,0.134839972
143,英語の音声で学習,0.111111111,0.255376959,0.160128154,0,0,0.273861279,0,0.141069123,0
144,地域を推薦,0,0,0,0.426401433,0,0.111803399,0,0,0
145,地域発音学習方式,0.048112522,0.073720978,0,0,0,0.158113883,0,0.061084722,0
146,推薦,0,0,0,0.603022689,0,0.158113883,0,0,0
147,されたリスト内の,0,0,0,0,0,0,0.098058068,0.061084722,0.150755672
148,地域,0,0,0,0,0,0,0,0,0
149,リスト,0,0,0,0,0,0,0,0,0
150,を推薦,0,0,0,0.603022689,0,0.158113883,0,0,0
151,実験①,0.288675135,0.147441956,0,0,0.40824829,0.158113883,0,0,0
153,実験目的,0.272165527,0.104257207,0,0,0.433012702,0.111803399,0,0,0
155,提案システムを用いた学習方法,0,0.131876095,0,0,0,0.141421356,0,0.054635836,0
156,（聞き取りやすい音声の順序で学習する方法）,0.21821789,0.167183464,0.104828484,0,0,0.358568583,0,0.04617571,0
157,と従来の英語リスニング学習方法（音源の聞き取りやすさを考慮しない順序で,0.106752103,0.081786082,0,0,0,0.131558703,0.163178488,0.169418537,0.083624201
158,学習する方法）とでの，学習者の英語リスニング能力とを比較することにより，,0.198761598,0.152277398,0,0,0,0.44907312,0,0.12617606,0
159,提案システムの有用性を検証する．,0.11785113,0,0,0,0,0.193649167,0,0,0
160,提案,0,0,0,0,0,0,0,0,0
161,システム,0,0,0,0,0,0,0,0,0
162,提案システムによる学習,0,0.085125653,0,0,0,0.182574186,0,0.070534562,0
163,Figure ,0,0,0,0,0,0,0,0,0
164,提案システムによって期待される効果,0.07856742,0,0,0,0.083333333,0,0.080064077,0.049875467,0.123091491
165,英語リスニング能力の向上（変化）,0.043033148,0.065938047,0,0,0,0,0,0.109271673,0
166,従来,0,0,0,0,0,0,0,0,0
167,方式,0,0,0,0,0,0,0,0,0
168,従来,0,0,0,0,0,0,0,0,0
169,方式,0,0,0,0,0,0,0,0,0
170,による学習,0,0.147441956,0,0,0,0.316227766,0,0.122169444,0
171,UP,0,0,0,0,0,0,0,0,0
172,大,0,0,0,0,0,0,0,0,0
173,UP,0,0,0,0,0,0,0,0,0
174,小,0,0,0,0,0,0,0,0,0
175,被験者,0.096225045,0,0,0,0,0,0.196116135,0,0
176,実験②,0.288675135,0.147441956,0,0,0.40824829,0.158113883,0,0,0
178,実験環境,0.272165527,0.104257207,0,0,0.288675135,0.111803399,0,0,0
180,使用,0,0,0,0,0,0,0,0,0
181,する,0.288675135,0,0,0,0,0.474341649,0,0,0
182,音源と地域一覧,0,0,0,0,0,0,0,0,0
183,地域女性男性,0,0,0,0,0,0,0,0,0
184,日本,0,0,0,0,0,0,0,0,0
185,タイ,0,0,0,0,0,0,0,0,0
186,ベトナム,0,0,0,0,0,0,0,0,0
187,インドネシア,0,0,0,0,0,0,0,0,0
188,シンガポール,0,0,0,0,0,0,0,0.122169444,0
189,合計(女性: 男:),0,0,0,0,0,0,0,0,0
190,表,0.096225045,0,0,0,0,0,0,0,0
191,1,0,0,0,0,0,0,0,0,0
192,実験で用いる英文情報と,0.129099445,0.065938047,0,0,0.182574186,0.070710678,0,0,0
193,ソース,0,0,0,0,0,0,0,0,0
194,表,0.096225045,0,0,0,0,0,0,0,0
195,英文ごとの音声数,0.096225045,0.073720978,0.138675049,0,0,0.079056942,0,0,0
196,表,0.096225045,0,0,0,0,0,0,0,0
197,音声の総数,0.068041382,0.104257207,0.196116135,0,0,0.111803399,0,0,0
198,英文番号,0,0,0,0,0,0,0,0,0
199,タイトル,0,0,0,0,0,0,0,0,0
200,ソース,0,0,0,0,0,0,0,0,0
201,時間,0,0,0,0,0,0,0,0,0
202,英単語数,0.068041382,0,0,0,0,0,0,0,0
204,香港少年,0,0,0,0,0,0,0,0,0
206,，間もなく開園！,0,0,0,0,0,0,0,0,0
207,TOEIC,0,0,0,0,0,0,0,0,0
208,テスト,0,0,0,0,0,0,0,0,0
209,Part&,0,0,0,0,0,0,0,0,0
210,鬼の変速リスニング,0,0,0,0,0,0,0,0.070534562,0
211,約,0,0,0,0,0,0,0,0,0
212,s,0,0,0,0,0,0,0,0,0
213,「夏の野外フェスや！」,0,0,0,0,0,0,0,0,0
214,TOEIC,0,0,0,0,0,0,0,0,0
215,テスト,0,0,0,0,0,0,0,0,0
216,Part&,0,0,0,0,0,0,0,0,0
217,鬼の変速リスニング,0,0,0,0,0,0,0,0.070534562,0
218,約,0,0,0,0,0,0,0,0,0
219,s,0,0,0,0,0,0,0,0,0
220,「工場へようこそ！」,0,0,0,0,0,0,0,0,0
221,TOEIC,0,0,0,0,0,0,0,0,0
222,テスト,0,0,0,0,0,0,0,0,0
223,Part&,0,0,0,0,0,0,0,0,0
224,鬼の変速リスニング,0,0,0,0,0,0,0,0.070534562,0
225,約,0,0,0,0,0,0,0,0,0
227,「エアコンが壊れた！」,0,0,0,0,0,0,0,0,0
228,TOEIC,0,0,0,0,0,0,0,0,0
229,テスト,0,0,0,0,0,0,0,0,0
230,Part&,0,0,0,0,0,0,0,0,0
231,鬼の変速リスニング,0,0,0,0,0,0,0,0.070534562,0
232,約,0,0,0,0,0,0,0,0,0
233,s,0,0,0,0,0,0,0,0,0
234,「ダータベイスバカップ」,0,0,0,0,0,0,0,0,0
235,TOEIC,0,0,0,0,0,0,0,0,0
236,テスト,0,0,0,0,0,0,0,0,0
237,Part&,0,0,0,0,0,0,0,0,0
238,鬼の変速リスニング,0,0,0,0,0,0,0,0.070534562,0
239,約,0,0,0,0,0,0,0,0,0
240,s,0,0,0,0,0,0,0,0,0
241,地域,0,0,0,0,0,0,0,0,0
242,女性,0,0,0,0,0,0,0,0,0
243,男性,0,0,0,0,0,0,0,0,0
244,合計,0,0,0,0,0,0,0,0,0
245,日本,0,0,0,0,0,0,0,0,0
246,タイ,0,0,0,0,0,0,0,0,0
247,ベトナム,0,0,0,0,0,0,0,0,0
248,インドネ,0,0,0,0,0,0,0,0,0
249,シンガ,0,0,0,0,0,0,0,0,0
250,合計,0,0,0,0,0,0,0,0,0
251,実験③,0.288675135,0.147441956,0,0,0.40824829,0.158113883,0,0,0
253,実験環境,0.272165527,0.104257207,0,0,0.288675135,0.111803399,0,0,0
255,被験者データ,0.068041382,0,0,0,0,0,0.138675049,0,0
256,選考基準,0,0,0,0,0,0,0.138675049,0,0
257,上記の条件のもと，基本ランダム．（英語が苦手な人が望ましい,0.06415003,0.049147319,0,0,0,0,0,0.040723148,0
259,表,0.096225045,0,0,0,0,0,0,0,0
260,被験者一覧,0.068041382,0,0,0,0,0,0.138675049,0,0
261,被験者,0.096225045,0,0,0,0,0,0.196116135,0,0
262,職種,0,0,0,0,0,0,0,0,0
263,出身国,0,0,0,0,0,0,0,0,0
264,人数,0,0.147441956,0,0,0,0,0,0,0
265,留学経験あり,0,0,0,0,0,0,0.226455407,0,0
266,留学経験なし,0,0,0,0,0,0,0.33968311,0,0
267,学生,0,0,0,0,0,0,0,0,0
268,日本,0,0,0,0,0,0,0,0,0
269,？人,0.096225045,0,0,0,0,0,0,0,0
270,？人,0.096225045,0,0,0,0,0,0,0,0
271,学生,0,0,0,0,0,0,0,0,0
272,タイ,0,0,0,0,0,0,0,0,0
273,？人,0.096225045,0,0,0,0,0,0,0,0
274,？人,0.096225045,0,0,0,0,0,0,0,0
275,学生,0,0,0,0,0,0,0,0,0
276,インドネシア,0,0,0,0,0,0,0,0,0
277,？人,0.096225045,0,0,0,0,0,0,0,0
278,？人,0.096225045,0,0,0,0,0,0,0,0
279,学生,0,0,0,0,0,0,0,0,0
280,ベトナム,0,0,0,0,0,0,0,0,0
281,？人,0.096225045,0,0,0,0,0,0,0,0
282,？人,0.096225045,0,0,0,0,0,0,0,0
283,学生,0,0,0,0,0,0,0,0,0
284,シンガポール,0,0,0,0,0,0,0,0.122169444,0
285,？人,0.096225045,0,0,0,0,0,0,0,0
286,？人,0.096225045,0,0,0,0,0,0,0,0
287,実験④,0.288675135,0.147441956,0,0,0.40824829,0.158113883,0,0,0
289,実験方法,0.204124145,0.104257207,0,0,0.288675135,0.111803399,0,0,0
292,実験の流れ,0.204124145,0.104257207,0,0,0.288675135,0.111803399,0,0.086386843,0
293,Figre ,0,0,0,0,0,0,0,0,0
294,実験の流れ図,0.204124145,0.104257207,0,0,0.288675135,0.111803399,0,0,0
295,実験⑤,0.288675135,0.147441956,0,0,0.40824829,0.158113883,0,0,0
297,実験方法,0.204124145,0.104257207,0,0,0.288675135,0.111803399,0,0,0
299,苦手克服型,0,0,0,0,0,0,0,0,0
300,学習,0,0.147441956,0,0,0,0.316227766,0,0.122169444,0
301,方式,0,0,0,0,0,0,0,0,0
302,ランキング,0.096225045,0,0,0.301511345,0,0,0.196116135,0,0
303,地域,0,0,0,0,0,0,0,0,0
304,正答率,0,0.208514414,0,0,0,0,0,0,0
305,(cx),0,0,0,0,0,0,0,0,0
306,位,0,0,0,0,0,0,0,0,0
307,c,0,0,0,0,0,0,0,0,0
309,位,0,0,0,0,0,0,0,0,0
310,c,0,0,0,0,0,0,0,0,0
313,正答率,0,0.208514414,0,0,0,0,0,0,0
315,cx),0,0,0,0,0,0,0,0,0
316,が一定以上になった,0.048112522,0.073720978,0,0,0,0,0,0,0
317,地域は判定して除外,0.096225045,0,0,0,0,0.079056942,0.196116135,0,0
318,推薦された地域発音英語の,0.07856742,0.060192927,0,0.246182982,0,0.064549722,0.080064077,0.099750934,0.123091491
319,音声で学習（,0.068041382,0.208514414,0.196116135,0,0,0.335410197,0,0.086386843,0
320,問，,0.096225045,0,0,0,0,0,0,0,0
321,全部で,0,0,0,0,0,0,0,0,0
322,問～）,0.096225045,0,0,0,0,0,0,0,0
323,学習者が聞き取りやすい,0.096225045,0.221162934,0,0,0,0.237170825,0,0.061084722,0
324,音声の地域を推薦,0.055555556,0.085125653,0.160128154,0.348155312,0,0.182574186,0,0,0
325,聞き取りやすさ,0.068041382,0,0,0,0,0,0,0.086386843,0
326,ランキングの上位,0.068041382,0,0,0.213200716,0,0,0.138675049,0,0
327,地域まで繰り返す,0,0,0,0,0,0,0,0,0
329,学習方法の実施方法,0,0.060192927,0,0,0,0.129099445,0,0.049875467,0
330,従来,0,0,0,0,0,0,0,0,0
331,方式,0,0,0,0,0,0,0,0,0
332,被験者,0.096225045,0,0,0,0,0,0.196116135,0,0
333,提案,0,0,0,0,0,0,0,0,0
334,従来,0,0,0,0,0,0,0,0,0
335,方式,0,0,0,0,0,0,0,0,0
336,音声をランダムに,0.068041382,0.104257207,0.196116135,0,0,0.111803399,0,0,0
337,問題提供（,0,0,0,0,0.144337567,0,0,0,0
338,問～,0.096225045,0,0,0,0,0,0,0,0
340,解答,0,0,0,0,0,0,0,0,0
341,音声,0.096225045,0.147441956,0.277350098,0,0,0.158113883,0,0,0
342,集めた,0,0,0,0,0,0,0,0,0
343,か国分音声＋,0.068041382,0.104257207,0.196116135,0,0,0.111803399,0,0,0
344,音声ソースの音源からランダム,0.043033148,0.065938047,0.124034735,0.134839972,0.091287093,0.070710678,0,0.109271673,0
345,被験者,0.096225045,0,0,0,0,0,0.196116135,0,0
346,解答,0,0,0,0,0,0,0,0,0
347,実験⑥,0.288675135,0.147441956,0,0,0.40824829,0.158113883,0,0,0
349,実験方法,0.204124145,0.104257207,0,0,0.288675135,0.111803399,0,0,0
352,テスト問題の仕様と実施方法,0,0,0,0,0.083333333,0,0,0,0
353,被験者,0.096225045,0,0,0,0,0,0.196116135,0,0
354,提案,0,0,0,0,0,0,0,0,0
355,システム,0,0,0,0,0,0,0,0,0
356,正答率の平均を,0,0.170251306,0,0,0,0,0,0,0
357,テスト結果に,0,0.104257207,0,0,0.144337567,0,0,0,0
358,テスト問題（,0,0,0,0,0.144337567,0,0,0,0
359,問）を提供,0.068041382,0,0,0,0,0,0,0,0
360,（空欄数と空欄箇所固定）,0.036369648,0,0,0,0,0,0,0,0
361,Figure ,0,0,0,0,0,0,0,0,0
362,テスト実施の流れ図,0,0,0,0,0,0,0,0,0
363,表,0.096225045,0,0,0,0,0,0,0,0
364,テストに使用する問題一覧,0.129099445,0,0,0,0.091287093,0.212132034,0,0,0
365,英文番号,0,0,0,0,0,0,0,0,0
366,タイトル,0,0,0,0,0,0,0,0,0
367,ソース,0,0,0,0,0,0,0,0,0
368,時間,0,0,0,0,0,0,0,0,0
369,英単語数,0.068041382,0,0,0,0,0,0,0,0
370,イケてる管理職セミナー,0,0,0,0,0,0,0,0,0.174077656
371,TOEIC,0,0,0,0,0,0,0,0,0
372,テスト,0,0,0,0,0,0,0,0,0
373,Part&,0,0,0,0,0,0,0,0,0
374,鬼の変速リスニング,0,0,0,0,0,0,0,0.070534562,0
375,約,0,0,0,0,0,0,0,0,0
377,「ビーバーカーソーへようこそ」,0,0,0,0,0,0,0,0,0
378,TOEIC,0,0,0,0,0,0,0,0,0
379,テスト,0,0,0,0,0,0,0,0,0
380,Part&,0,0,0,0,0,0,0,0,0
381,鬼の変速リスニング,0,0,0,0,0,0,0,0.070534562,0
382,約,0,0,0,0,0,0,0,0,0
383,s,0,0,0,0,0,0,0,0,0
384,「大家さん、ちょっと待って」,0.096225045,0.073720978,0,0,0,0,0,0,0
385,TOEIC,0,0,0,0,0,0,0,0,0
386,テスト,0,0,0,0,0,0,0,0,0
387,Part&,0,0,0,0,0,0,0,0,0
388,鬼の変速リスニング,0,0,0,0,0,0,0,0.070534562,0
389,約,0,0,0,0,0,0,0,0,0
391,正答率が高い地域を推薦する機能,0.145478593,0.111455643,0.104828484,0.227921153,0,0.298807152,0,0,0
392,問題の空欄箇所を固定する機能,0.11785113,0,0.113227703,0,0.083333333,0.25819889,0,0,0
393,英語リスニングを,0.068041382,0.104257207,0,0,0,0,0,0.172773685,0
394,修学している人,0.240562612,0,0,0,0,0.079056942,0.196116135,0.122169444,0
395,あまり慣れ親しんでいない,0,0.073720978,0,0,0,0,0,0,0
396,発音,0.096225045,0,0,0,0,0,0,0,0
398,地域発音,0.068041382,0,0,0,0,0,0,0,0
400,による音声,0.096225045,0.147441956,0.277350098,0,0,0.158113883,0,0,0
401,聞き取れない時,0,0,0,0,0,0,0,0,0
402,もあるな,0.19245009,0,0,0,0.204124145,0,0.196116135,0,0
404,特定の発音に対する,0.068041382,0,0,0,0,0,0,0,0
405,慣,0,0,0,0,0,0,0,0,0
406,れ,0,0,0,0,0,0,0,0,0
407,ー,0,0,0,0,0,0,0,0,0
408,ー,0,0,0,0,0,0,0,0,0
409,ー,0,0,0,0,0,0,0,0,0
410,ー,0,0,0,0,0,0,0,0,0
411,ー,0,0,0,0,0,0,0,0,0
412,ー,0,0,0,0,0,0,0,0,0
414,英語リスニング学習者それぞれに適した学習コンテンツを提供すること,0.133440128,0.163572164,0,0,0,0.350823208,0,0.13553483,0
415,で、英語学習への動機付けや、リスニング能力の向上に繋がる．,0,0,0,0,0.077151675,0,0,0.04617571,0
416,しかし,0,0,0,0,0,0,0,0,0
418,英語リスニングを,0.068041382,0.104257207,0,0,0,0,0,0.172773685,0
419,修学している人,0.240562612,0,0,0,0,0.079056942,0.196116135,0.122169444,0
420,聞き取れるよう,0.068041382,0,0,0,0,0.111803399,0,0.086386843,0
421,になってきた！,0.068041382,0,0,0,0,0,0,0,0
422,聞き取りづらかった音声を学習,0.096225045,0.147441956,0.138675049,0,0,0.237170825,0,0.061084722,0
423,アジア諸国でも通じる実践的な英語リスニング力を獲得,0.032075015,0.049147319,0,0,0,0,0,0.081446296,0
,,,,,,,,,,
,,14.77319578,10.89812375,4.438016475,5.655162697,9.090400789,16.30530122,5.221972588,7.832511951,1.277328229
