,,H-tsukiji,shohei516,kohei1110,toC1421,unblee
310,画像集合１と画像集合２の,0.195180015,0,0.390360029,0,0.276026224
311,枚,0,0.277350098,0,0,0
312,目の類似度,0.178174161,0.480384461,0,0,0
313,初期画像集合と識別画像,0.174963553,0,0.466569475,0,0.32991444
314,枚目,0,0.39223227,0,0,0
315,の類似度,0.21821789,0.39223227,0,0,0
317,初期画像集合と識別画像,0.174963553,0,0.466569475,0,0.32991444
319,枚,0,0.277350098,0,0,0
320,目の類似度,0.178174161,0.480384461,0,0,0
321,識別画像,0.109108945,0,0.327326835,0,0.15430335
322,枚目～,0,0.39223227,0,0,0
324,枚目の類似度の合計,0.138013112,0.496138938,0,0,0
325,を識別画像集合の類似度とする,0.251976315,0.226455407,0.314970394,0,0.356348323
327,すべての画像集合において初期画像集合との類似度を算出,0.256776296,0.153846154,0.385164443,0,0.302613766
328,下記の類似度,0.178174161,0.320256308,0,0,0
329,の差分がしきい値を超えたら外観変化を検知,0,0,0,0,0.08247861
331,前日の画像集合との類似度,0.276026224,0.248069469,0.276026224,0,0.195180015
334,初期画像集合との類似度,0.276026224,0.248069469,0.34503278,0,0.292770022
337,類似度の総和,0.178174161,0.480384461,0,0,0
338,類似度の総和,0.178174161,0.480384461,0,0,0
339,類似度の総和,0.178174161,0.480384461,0,0,0
346,類似度の総和,0.178174161,0.480384461,0,0,0
354,実験１,0.109108945,0,0.109108945,0,0
355,実験,0.15430335,0,0.15430335,0,0
357,観賞魚の画像を用いて病気判定をする場合，画像,0.146385011,0,0.195180015,0,0.276026224
359,データとする,0,0,0,0,0.3086067
361,ある,0,0.277350098,0,0,0
373,異なる模様の画像を学習データとして代用した場,0.054554473,0,0.109108945,0,0.077151675
374,合の外観変化検知が可能であるか検証する,0,0,0,0,0.16495722
375,実験１,0.109108945,0,0.109108945,0,0
376,実験,0.15430335,0,0.15430335,0,0
383,枚）,0,0.277350098,0,0,0
384,何,0,0,0.15430335,0,0
385,も加工を施さない場合を「健康,0.077151675,0,0,0,0
394,実験１,0.109108945,0,0.109108945,0,0
395,実験,0.15430335,0,0.15430335,0,0
399,の健康画像と柄,0.15430335,0,0.15430335,0,0.109108945
401,の白点病画像を学習データ,0.062994079,0,0.125988158,0,0.089087081
405,の白点病画像と柄,0.062994079,0,0.125988158,0,0.089087081
407,の健康画像を,0.21821789,0,0.21821789,0,0.15430335
409,を用いて判定,0.109108945,0,0,0,0
411,学習データと識別データを入れ替えた場合も同様に実験,0.046524211,0,0.093048421,0,0
414,（健康）,0.15430335,0,0,0,0
421,（健康）,0.15430335,0,0,0,0
435,で判別,0,0,0.109108945,0,0
438,実験,0.15430335,0,0.15430335,0,0
440,実験,0.15430335,0,0.15430335,0,0
443,例,0,0,0.3086067,0,0
454,を学習データとした場,0.15430335,0.138675049,0,0.129099445,0.109108945
463,（健康），,0.15430335,0,0,0,0
467,健康,0.15430335,0,0,0,0
480,識別画像,0.109108945,0,0.327326835,0,0.15430335
486,（健康）,0.15430335,0,0,0,0
492,（健康）,0.15430335,0,0,0,0
498,実験１,0.109108945,0,0.109108945,0,0
500,異なる模様の画像を学習データとして代用した場合，,0.163663418,0.098058068,0.109108945,0.091287093,0.15430335
502,同じ個体模様の画像を,0.077151675,0,0.15430335,0,0.109108945
503,学習データとする必要がある,0,0.124034735,0,0,0.195180015
504,実験,0.15430335,0,0.15430335,0,0
507,手法である時系列画像集合間の類似度の差分から，,0.195180015,0.175411604,0.195180015,0,0.138013112
508,着目している画像データのわずかな外観変化の検知が,0.15430335,0.092450033,0.15430335,0.172132593,0.145478593
510,する,0,0,0,0,0.43643578
512,類似度の総和,0.178174161,0.480384461,0,0,0
513,類似度の総和,0.178174161,0.480384461,0,0,0
514,類似度の総和,0.178174161,0.480384461,0,0,0
521,類似度の総和,0.178174161,0.480384461,0,0,0
529,実験,0.15430335,0,0.15430335,0,0
531,実験,0.15430335,0,0.15430335,0,0
538,枚）,0,0.277350098,0,0,0
539,何,0,0,0.15430335,0,0
540,も加工を施さない場合を「健康,0.077151675,0,0,0,0
556,の画像データ例,0.089087081,0,0.356348323,0,0.125988158
559,における時系列症状変化例,0,0,0.15430335,0,0
560,実験２,0.109108945,0,0.109108945,0,0
561,実験データ,0.109108945,0,0.109108945,0,0
565,画像上の状態,0.178174161,0,0.178174161,0,0.125988158
566,画像枚数,0.109108945,0,0.21821789,0,0.15430335
567,健康,0.15430335,0,0,0,0
571,枚,0,0.277350098,0,0,0
577,枚,0,0.277350098,0,0,0
583,枚,0,0.277350098,0,0,0
587,枚,0,0.277350098,0,0,0
591,枚,0,0.277350098,0,0,0
597,枚,0,0.277350098,0,0,0
603,枚,0,0.277350098,0,0,0
608,枚,0,0.277350098,0,0,0
614,枚,0,0.277350098,0,0,0
620,枚,0,0.277350098,0,0,0
621,実験２,0.109108945,0,0.109108945,0,0
622,実験,0.15430335,0,0.15430335,0,0
624,以下の実験結果を比較することで,0.062994079,0,0.062994079,0,0.267261242
628,単体画像間の類似度,0.207019668,0.248069469,0.138013112,0,0.097590007
629,画像集合からランダム,0.15430335,0,0.3086067,0,0.21821789
632,を抽出し,0.21821789,0.196116135,0,0.182574186,0.15430335
633,比較,0,0,0,0,0.21821789
635,画像集合間の類似度（提案手法）,0.233284737,0.209656967,0.233284737,0,0.16495722
636,実験２,0.109108945,0,0.109108945,0,0
640,画像集合類似スコア,0.231455025,0.138675049,0.3086067,0,0.21821789
643,画像集合類似スコア,0.231455025,0.138675049,0.3086067,0,0.21821789
647,単体画像間の類似度,0.207019668,0.248069469,0.138013112,0,0.097590007
648,画像集合間の類似度（提案手法）,0.233284737,0.209656967,0.233284737,0,0.16495722
653,実験,0.15430335,0,0.15430335,0,0
658,画像集合類似スコア,0.231455025,0.138675049,0.3086067,0,0.21821789
661,画像集合類似スコア,0.231455025,0.138675049,0.3086067,0,0.21821789
665,単体画像間の類似度,0.207019668,0.248069469,0.138013112,0,0.097590007
666,画像集合間の類似度（提案手法）,0.233284737,0.209656967,0.233284737,0,0.16495722
671,実験２,0.109108945,0,0.109108945,0,0
673,類似度が,0.21821789,0.39223227,0,0,0
676,例：ペア,0,0,0.21821789,0,0
686,単体画像間の,0.089087081,0,0.178174161,0,0.125988158
687,類似度,0.21821789,0.39223227,0,0,0
689,画像集合間の類似度（提案手法）,0.233284737,0.209656967,0.233284737,0,0.16495722
690,実験２,0.109108945,0,0.109108945,0,0
693,が経過するごとに類似度が減少,0.116642369,0.209656967,0,0,0.16495722
694,大きく減少している,0.15430335,0.138675049,0.077151675,0.25819889,0.109108945
696,で病気症状の発見が可能,0,0,0.062994079,0,0
697,単体画像間の類似度,0.207019668,0.248069469,0.138013112,0,0.097590007
699,画像集合間の類似度（提案手法）,0.233284737,0.209656967,0.233284737,0,0.16495722
703,単体の画像データ間の類似度,0.188982237,0.226455407,0.125988158,0,0.089087081
704,で比較,0,0,0.109108945,0,0.15430335
705,する場合,0,0,0,0,0.3086067
707,着目している画像データの,0.207019668,0.124034735,0.207019668,0.230940108,0.195180015
715,画像集合間の類似度,0.276026224,0.248069469,0.276026224,0,0.195180015
716,で比,0,0,0.109108945,0,0
717,較する場合,0,0,0,0,0.251976315
719,着目している画像データの外観変化の検知が,0.163663418,0.098058068,0.163663418,0.182574186,0.15430335
729,観賞魚の個体画像集合を時系列で分類し，,0.21821789,0.098058068,0.272772363,0.091287093,0.231455025
730,画像集合,0.21821789,0,0.43643578,0,0.3086067
731,間類似度の差分,0.15430335,0.277350098,0,0,0
735,今後の課題,0,0,0,0.547722558,0
737,今回の実験で使用した模様以外でも,0.174963553,0.104828484,0.116642369,0.097590007,0.08247861
739,知可能で,0,0,0.089087081,0,0
740,ある,0,0.277350098,0,0,0
747,画像集合に最低限必要な画像枚数の検証,0.15430335,0,0.3086067,0,0.21821789
749,外観変化を検知した場合，病気の判定,0.174963553,0.104828484,0,0.097590007,0.08247861
,,27.5385169,28.35068378,29.91840133,3.118091793,24.7750758
