name,time,session
bot1,t7," @bot4 ファイルの実行権限(パーミッション)を変更するとうまくいくかもしれません。一度試してみてください
#order"
bot1,t8, @bot4 オンラインでできると良いですね。Googleとかにそういうサービスがあったような。
bot1,t8, @bot2 分かりやすいデモだと思います。 「単語をベクトル化」という表現が、高校生には難しいかもしれません。あと、「ある人が持つ単語群」というのは、やや意味がわかりづらいように思います。
bot1,t9," @bot3 もう一度デプロイができるようにサーバ構築をお願いします
#start #order"
bot1,t9," @bot4 @bot5 従来の勉強法と卒研で提案している手法との違いを示すために，比較となる従来での勉強法の調査をしてください
#start #order"
bot1,t9," @bot3
どうもありがとう"
bot2,t1,tfidfの実装
bot2,t1,卒論にTF-IDFについて一部書き始めました。
bot2,t1,"今年指定されている卒研のフォーマットに修正。
今年の卒論フォーマットをベースに自分の卒論を今年のフォーマットに全て修正しました。これで自分で作成した図表番号の不具合と見出し番号の不具合も解消しました。
・TF-IDFの説明を卒論に挿入
昨日作成したTF-IDFの説明とその図の一部を卒論の提案方式の一部に追加しました．文章は完全に反映していないですが，図は追加する場所に追加だけ行いました。"
bot2,t1,卒論にTF-IDFを用いた人物推薦を行う研究を追加しました。
bot2,t2,"卒研スライドの作成
研究会で使用したスライド、セミナーのスライド、卒論をもとに作成しました。"
bot2,t2,"研究室で統一したテンプレートに自分の発表スライドを反映
予備スライドとして，実装に関するスライドを追加しました．"
bot2,t2,"卒論要項を作り始めました．
提案方式の図，実験概要とまとめのみ要項に加えました．"
bot2,t3, @bot1 わかりました。いつまでに提出すればいいでしょうか？
bot2,t3, @bot1 わかりました
bot2,t3, slackAPIを用いたプログラムの作成 pythonのモジュールがインストールされないところで沼にはまりました
bot2,t3," @bot4 @bot5 @bot6 @bot7 去年の内容をフィードバックした研究の進め方に関する資料を共有するので、4年生の子らは一度読んでおいてください
#start #order"
bot2,t3,"<file upload>{user:bot2 ""file_type:docx}"
bot2,t3,"SlackAPIのログを取得するプログラムの作成
まだ表示しているだけなので、JSON形式で出力や配列に格納するとかは行っていないです。"
bot2,t3,"関連研究の調査
スライド・ブログ・Twitterについての関連研究を参考とした利点と研究目的を表にまとめて"
bot2,t4,"研究計画書の作成
研究背景と，研究目的，自分が何を行うのかの提案，関連研究について書きました"
bot2,t4,"関連研究の調査
情報推薦の手法の一つである協調フィルタリングを用いた研究についてまとめました"
bot2,t4," @bot1
わかりましたbot3と一緒にやってみます"
bot2,t4," @bot6 @bot7
去年に卒論の関連研究をまとめたexcelファイルを上げるから参考にしていいよ"
bot2,t4,"<file upload>{user:bot2 ""file_type:xlsx}"
bot2,t5,"授業演習環境システムのデプロイ
笠井君と共にサーバ環境の構築をしました"
bot2,t5,"構築した授業演習環境システムのテスト
教科書を基にMySQLのテストを行いました"
bot2,t5," @bot7
僕が使っている会話データのログを活用できそうならぜひ使ってください
#start"
bot2,t5,"<file upload>{user:bot2 ""file_type:txt}"
bot2,t6,"ログを収集するプログラムの作成
他のチャンネルのログをいくつか取得しました。"
bot2,t6,"ディープラーニングの本を読み進めました。
ニューラルネットワークと分類の方式について学びました
時系列でのニューラルネットワークの学習"
bot2,t6,"論文の翻訳
英語の論文について3つまとめました。
実験結果と考察の部分を追加
数式の調整"
bot2,t6,mecabによるログの分かち書き化プログラムの作成
bot2,t7,チャットログから学習ログを取るために、word2vecを用いた単語の分類を学習
bot2,t7,pythonプログラムでひらがなと記号を排除し分かち書きをするプログラムの作成
bot2,t7,分かち書きされたファイルから単語の出現回数を集計するphpプログラムの調整をしました
bot2,t7,slacklogから個別での出現単語の抽出を行うプログラムの完成
bot2,t8, @bot4 @bot5 @bot6 @bot7 去年僕が作ったものを共有するので，参考にしてみてください
bot2,t8,"<file upload>{user:bot2 ""file_type:docx}"
bot2,t8,ログの更新とslackのアップグレードによる不具合の修正
bot2,t8,"OCプログラムの作成
OCのプログラムとしてブラウザでword2vecが動作できるように仮組しました"
bot2,t8,"word2vecの結果をブラウザに表示できるように調整
OCプログラムのタグクラウド生成機能の追加"
bot2,t8,OCの資料を作成
bot2,t8," @bot1 OCのデモと資料を作成しました。何か改善点がないかチェックお願いします
#start"
bot2,t8, @bot1 ありがとうございます。土日の間にそこの言い回しを考えてみます
bot2,t9,ユーザ毎に履歴を分類するプログラムと各ユーザがあるユーザを指定した回数と相手の一覧を抽出するプログラムの作成
bot2,t9,ユーザ毎の頻出単語データの抽出
bot2,t9,"ユーザベクトルを算出するためのデータセット作成プログラム
協調フィルタリングはユーザの距離をコサイン類似度で出していたのでそのようにRで計算しなおしました"
bot2,t9,Rでコサイン類似度出したデータを整理して発言の類似度でだれが近いかを何人か試しに出しました．
bot2,t9," @bot4 @bot5 @bot6 @bot7
3年生の子たちに卒研を引き継げるように自分の研究を説明してみてください
#start #order"
bot3,t1,卒論の実験の章について加筆
bot3,t1,"指摘を受けた部分の修正
卒論を指定されたフォーマットに修正
まとめの章の追加"
bot3,t2,"卒研発表スライドの作成
卒論の内容を大まかに反映
研究背景から今後の展望まで一通り作成"
bot3,t2,"具体的な文章・図を記述
発表スライドをテンプレートをもとに修正"
bot3,t2,"卒論要綱の作成
発表スライドの図を反映"
bot3,t3," @bot1
わかりました"
bot3,t3," @bot1
わかりました"
bot3,t3,"Ubuntu をインストールしたベアボーンに GPU のドライバと CUDA のインストールを行った
インストール作業のログを記録"
bot3,t3,サンプルプログラムを実行した結果倍精度（？）で96.106 Gflopsの性能がでた
bot3,t3,"nvidia-docker のインストール
ディープラーニング系フレームワークTensorFlowの テスト実行"
bot3,t3,作業手順書の完成
bot3,t4, @bot1 すいません。すぐに提出します。
bot3,t4,参加する可能性のある学会の調査・まとめ
bot3,t4,関連研究の調査
bot3,t4, @bot1 わかりました。明日から環境構築と動作確認を始めます
bot3,t4," @bot6 @bot7 
関連研究はExcelでまとめてタイトル，著者名，書籍情報，軽い概要をまとめると卒論書くときに便利ですよ
#start"
bot3,t5,"授業演習環境システムのデプロイ
Ubuntu 16.04 でサーバ構築
ssh、ファイアウォール、apache、php、mysqlの設定"
bot3,t5,ソースコードの動作を確認した（index.php、ログイン機能が動作することを確認）
bot3,t5,"研究計画書の作成
サーバ運用とエラーブンセイに関する関連研究の調査"
bot3,t6,"研究で使用するエージェントの実装
記憶領域に関するAPIの実装"
bot3,t6,"研究で使用するエージェントの実装
現段階で実装済みの機能に単体テストを追加
リクエストのバリデーション実装"
bot3,t6,"研究で使用するエージェントの実装
外部サービス（e.g. slack）へのリクエストAPIの実装"
bot3,t6," @bot5
わかりました。
あとで使い方を教えてください"
bot3,t6,青木くんの実験システムのデバッグ協力
bot3,t7,"・研究で使用するエージェントの実装
Handlerのルーティング処理実装中"
bot3,t7,"研究で使用するエージェントの実装
プラグインリクエストのルーティング処理実装開始"
bot3,t7," @bot6 @bot7
github上にある4年生の卒研プログラムを入れるレポジトリの命名規則を決めて統一できるようにお願いします
#start #order"
bot3,t7," @bot4
いいですよ。一緒に鍵の生成と登録をやりましょう"
bot3,t7,dolphinサーバをグローバル環境に調整
bot3,t7," @bot4
パーミッションの変更はchmodで変えられますよ"
bot3,t8," @bot4 @bot5 @bot6 @bot7
OCの準備として当日配布する資料と見せるデモの準備をしてください。
#start #order"
bot3,t8,"OC資料の作成
修論の内容はまだデモとかできる段階にないので、ベースは去年のものを踏襲"
bot3,t8,"OCでもプログラムの作成
卒研の実験結果等＋α（webuiとか？）をパッチとして適応"
bot3,t9, @bot1 わかりました  
bot3,t9," @bot5 @bot6 @bot7
今度復旧のするためにサーバ構築するのでお手伝いをお願いします
#order"
bot3,t9,"ゼミスライド更新
先生に指摘された部分を修正
システム概要図を「マスタとスレーブの関係性」「原因推定の構成」に分割
システムモジュール概要を項目ごとに分割"
bot3,t9," @bot1 @bot5 @bot6
基本的なサーバ構築は終了しました
具体的には
SSH の公開鍵認証の設定
ファイアウォール（ufw）の設定（22 80 443ポート開放）
サーバのグローバル露出(IP固定)
プロキシ設定
apache インストール
$HOME/public_html の有効化
https の設定（let'sencrypt証明書配置、certbotで設定、cronで毎月1日証明書更新）
#start"
bot3,t9," @bot5 @bot6 @bot7
公開を行う子らは PHP、SQLite、MySQL等のミドルウェアインストールと各自のアプリケーションデプロイは各自でやってください
#order"
bot4,t2, @bot1 わかりました。
bot4,t3,JSの勉強
bot4,t3,"関連研究の調査
Ｅ-learningシステムについての論文についてまとめました"
bot4,t3,JSの勉強
bot4,t3," @bot2
ありがとうございます"
bot4,t3," @bot1
三 、四件調べました、内容的にまとめられたのは一件だけでした"
bot4,t3," @bot1
わかりました。"
bot4,t3,"JSのお勉強
イベント処理の基本
プロトタイプチェーン(JSにおける継承)について"
bot4,t4,"Jsのお勉強
ブラウザオブジェクトについて
Documentオブジェクトについて
History、Navigataer、Screenオブジェクトについて"
bot4,t4,ログ機能を実装するための準備：PHPを使ってデータベースにアクセスし、データを格納する簡単なプログラムを作成
bot4,t4,Web Speech api の各国風音声について調査
bot4,t4,"ajaxの使用に関する勉強
jquary等を用いて動かしてみることからやって行く方向に変更"
bot4,t4," @bot1
わかりました。
サーバ上で公開する方法は院生の方々に聞きながらやってみようと思います"
bot4,t5,音声録音アプリの開発に関する、仕様や実装についての相談を青木君と行いました。
bot4,t5," @bot1
先生や青木君とのディスカッションの結果を自分なりにまとまました。夏休みの残りの期間は、「実験に向けて」の項目の作業を順次進めていきたいと思います．
#start"
bot4,t5," @bot1
青木くんが作ってくれた音声録音システムは、音声を録音しているpcには、その音源をダウンロードすることができるのですが、録音した音声を、例えば遠隔の自分のpcから取り出すことはできないのが現状です。
なので、例えば外国の人に、研究室のサーバーにデプロイした録音システムを使って録音及びダウンロードをしてもらい、そのデータを別の、snsかメール等で送ってもらえば、現状でも音源収集は可能だと思います。
ですが、この方法は協力してくれる方にも、また自分自身にも少し負担だと思うので、録音システムは機能修正していくつもりです。"
bot4,t5," @bot1
わかりました。今後はディスカッションの結果もなるべく形のあるものにまとめてreportチャンネルに上げて行きたいと思います。"
bot4,t6,"ログデータ機能を実装するための情報収集
石川君が途中まで作ってくれたログの部分を修正"
bot4,t6,ログデータをブラウザで表示させるプログラムの実装
bot4,t6,"ログデータをWEBから表形式で参照できるプログラムの実装
参照はできたので、ログに関しては、単語ごとの数をとれるようにした"
bot4,t7,仮管理者画面に，学習履歴を削除できるボタンを設置
bot4,t7,仮正答率（クリックした空欄個数/全空欄個数）を計算し，データベースに格納できるように機能を追加しました．
bot4,t7, @bot1 php.iniの設定を変更することで、10秒以上の音声も録音することができました。
bot4,t7,何個空欄を作って，そのうち何個正解したのかがわかるように全空欄個数と正解数を，解答送信時にデータベースに登録できる＋可視化できるようにプログラムの修正
bot4,t7," @bot3
github上にあるレポジトリをサーバにクローンする時に鍵の認証でうまくクローン出来ないので，時間のある時に手伝ってもらってもよろしいでしょうか
#start"
bot4,t7," @bot3
ありがとうございます"
bot4,t7,"bot3にお手伝いというかほとんどお任せるような形ですが，
現状完成している部分のシステムをグローバル環境に公開"
bot4,t7,"サーバ上の音声ファイルを再生できない不具合がうまく調整できませんでした
ローカル環境では再生できるので，サーバ上の環境とうまくいっていないかもしれません
#start"
bot4,t7," @bot1 @bot3
ありがとうございます！
早速試してみます"
bot4,t8," @bot2 @bot3
分かりました
ありがとうございます"
bot4,t8,audio追加  DB更新
bot4,t8,root.phpに認証機能を追加
bot4,t8,"録音した音声を取得可能
10以上の音声が録音されない
録音した音声を保存する際に、パーミッションを変更する機能を追加"
bot4,t8," @bot1 月曜日から，このような形で、簡単なアンケートを実施し，オープンキャンパスで高校生に説明する際の材料にしたいと思います．
#start"
bot4,t8, @bot1 わかりました。bot6が載せてくれた物も参考にして、オンラインでできるようにやって見ます。
bot4,t8," @bot6
ありがとう！！助かります"
bot4,t8,OPにむけてデザインを一新微調整＆音声追加
bot4,t9,"OCの資料を元に、英語で自分の研究を説明するハンドアウトを作成しました．
音声録音の依頼の説明も英語化して追加しました．
国際課の方々のご協力の元，日本人英語の音声の録音"
bot4,t9," @bot1
わかりました"
bot4,t9,dbの「log」テーブルに全ユーザーのwordログが格納されるように変更＆それに伴うDBの仕様変更
bot4,t9,キーボードのタイプを判定して再生および一時停止を操作できるようにプログラムを修正しました．
bot4,t9,実験用にランダムに問題と音声が入れ替わるようにプログラムを改良
bot4,t9,"地域ごとにランダムに問題を変えるアルゴリズムの実装
キーボードによるaudioの操作追加"
bot4,t9,正答率を自動計算（平均で）し、ランク別に表示できるように＆UIのブラッシュアップ
bot5,t2," @bot1
わかりました"
bot5,t3,"関連研究の調査
音声認識について調査しました"
bot5,t3,"音声認識について調査しました
julius という認識エンジンについてを中心に調べました"
bot5,t3,テスト用のデータを用意しました
bot5,t3,  @bot2 ありがとうございます
bot5,t3," @bot1
ほぼ一件です
julius という認識エンジンについてを中心に調べました"
bot5,t3," @bot5
わかりました
調査してみます"
bot5,t4,"音声認識のためのAPI(Web Speech API)について　精度や機能などを調査しました。
実際にテストするために簡単なUIを作成しました"
bot5,t4,発音練習アプリケーションの基本機能を実装しました
bot5,t4,"Webデザインを整えました
それにともない、Bulmaというフレームワークを導入しました"
bot5,t4,"bot5 t4 ""発音の評価について調査しました、主にリンキングについて調査しました
単語の区切りに注目して判定をとることも視野にいれようと考えました  
ユーザ情報を格納するデータベースについて学習しました"
bot5,t4," @bot1
わかりました
今後の方針として、ランダムに問題表示したケースとの比較して　学習者の関心の高い問題を出題するシステムによる実験を考えています"
bot5,t4," @bot1
DBはありますが、頻度の記録をするプログラムが弱いので９月上旬には完成させたいと思います"
bot5,t5,"bot4との研究の共同部分である音声データ収集の録音アプリの開発をしました
それについて今後についての相談をしました"
bot5,t5," @bot1
わかりました"
bot5,t5,  @bot4 代わりに報告してくれてありがとう
bot5,t5,正解例の音声を聴ける機能を追加しました
bot5,t5,文字列処理について学習しました
bot5,t6,"録音アプリに出題機能を追加しました
chromeの拡張機能について調査しました"
bot5,t6,文字列分析を行うプログラムについて、他者の作ったソースコードを見て学習などをしました
bot5,t6,特定のキーワードを抽出するプログラムを作成する作業
bot5,t6," @bot3
実験システムの音声認識のシステムを作ったので，デバックしてほしいです
#start"
bot5,t6,リンキング判定について音声データ処理の方面から調べました
bot5,t7,実験システムの問題収集について検討、不備を修正
bot5,t7,録音中であるとことを知らせるメッセージを表示する
bot5,t7,正否判定しやすいように問題の文字列を置換するようにした
bot5,t7," @bot1
今のところは頻出する単語をランキング化して上位の物を関心度の高いものとして行います。"
bot5,t7," @bot1
分かりました
並行して集めたいと思います"
bot5,t7, 頻度を記録するデータベースに対してPDO操作を行う
bot5,t8," @bot2 @bot3
分かりました
ありがとうございます"
bot5,t8,新規登録時にユーザー名のテーブルを作成＆ログイン時にユーザー名のテーブルにログを登録
bot5,t8, DB処理の一部を変更
bot5,t8,table表示用のUIを作成
bot5,t8, OC資料の作成
bot5,t8, OC資料の調整
bot5,t9," @bot3
分かりました"
bot5,t9," @bot1
わかりました"
bot5,t9,抽出した単語群から、頻出単語を問題として抽出  
bot5,t9, @bot3 ありがとうございます
bot5,t9," @bot6 @bot7
3年セミナーのときに　4年生で引き継ぎの説明を順番にやりたいです
とりあえず　来週は僕ともう一人くらいお願いしたいんですが希望者いませんか?
内容は簡単な研究説明のようなものを考えています
#start"
bot5,t9," @bot4
栗原と上村くんは紹介しただろうし、いらないのかも知れないね"
bot5,t9," @bot7
たすかります"
bot6,t2," @bot1
分かりました"
bot6,t3,先輩の論文を読みました
bot6,t3,"関連研究の調査
プログラミング学習について調べました"
bot6,t3, @bot2 ありがとうございます
bot6,t3," @bot1
先輩の研究ともう一つプログラミング学習の論文1つほどまとめました"
bot6,t4,タブレットなどの端末でのプログラミング開発について調査
bot6,t4," @bot3
分かりました"
bot6,t4," @bot2
ありがとうございます"
bot6,t5," @bot1
研究室のファイアウォールで使用しても良いポート番号があるでしょうか？
#start"
bot6,t5," @bot1  
ありがとうございます。使ってみます"
bot6,t5, 提案方式を実現するためのスニペット機能の実装
bot6,t5,サーバ環境の設定とサーバ上で自分のシステムの移行
bot6,t5," @bot1
クロールの機能でしたら、npm run crawler:qiita といったコマンドを実行すると、DBに格納されます"
bot6,t5,9100に公開しているはずなのですがアクセスできないようなのですが、本当に使えるのでしょうか…？
bot6,t5," @bot1
とりあえず一旦見えるようになりました。"
bot6,t6,サーバ上のシステムの不具合修正
bot6,t6,サーバ上のシステムの不具合修正
bot6,t7," @bot3
わかりました"
bot6,t8," @bot2 @bot3
分かりました
ありがとうございます"
bot6,t8,OC資料の作成
bot6,t8,OC資料の作成
bot6,t9," @bot3  
かりました"
bot6,t9,サーバ環境構築の手伝い  
bot6,t9,ソースコード検索方法の調査  
bot6,t9," @bot3  
わかりました。インストールしたものについてはその都度報告します"
bot7,t2," @bot1
ありがとうございます"
bot7,t3,関連研究の調査
bot7,t3,"関連研究の調査  
知識データベースについて調べました"
bot7,t3," @bot2 
ありがとうございます  "
bot7,t3," @bot1
自分もまだ1件しか調べていません"
bot7,t3," @bot1
わかりました"
bot7,t4,知識の共有について関連研究の調査
bot7,t4," @bot3
分かりました．今までまとめたものをExcelに移して書き加えます"
bot7,t4," @bot2
ありがとうございます"
bot7,t5,有用となる会話例の考察および実際に使うようなデータの調査  
bot7,t5,研究室におけるslackログの抽出  
bot7,t5," @bot2
ありがとうございます"
bot7,t6,会話データに付与するタグの定義  
bot7,t6,会話データに付与するタグの定義  
bot7,t7," @bot3
わかりました"
bot7,t8," @bot2 @bot3  
分かりました
ありがとうございます"
bot7,t8,word2vecの調査  
bot7,t9," @bot3  
分かりました"
bot7,t9,サーバ環境構築の手伝い  
bot7,t9, word2vecを動作させるための環境構築  
bot7,t9," @bot3  
わかりました。インストールしたものについてはその都度報告します"
bot7,t9," @bot5 
来週やりますよ"
