id,text,ktakano,shohei516,H-tsukiji,kohei1110
68,人工知能学会,0,0,0,0
69,全国大会論文集,0,0,0,0
71,掲示板での議論から専門性やコミュニケーション能力を推定,0.032274861,0,0,0
73,議論掲示板における投稿への自動分類,0,0,0,0
74,技術研究報告）,0,0,0,0
76,議論,0,0,0,0
78,おける,0,0,0,0
79,種類の役割を利用し、オンライン議論の分析,0.089642146,0,0,0.101015254
81,議論マイニングによる議論掲示板利用者の能力推定,0,0,0,0
85,情報処理学会,0,0,0,0
86,全国大会講演論文集,0,0,0,0
88,係り受け,0,0,0,0
89,構造と機械学習アルゴリズムによる分類・学習で議論理解を支援,0.025,0,0,0.084515425
90,関連研究（３）,0,0,0,0
92,ブレインストーミング,0,0,0,0
95,あいづち機能を用いた分散ブレインストーミング支援システム,0,0,0.065653216,0
97,（２０１０,0.129099445,0,0,0
99,情報処,0,0,0,0
100,理学会,0,0,0,0
101,情報処理学会論文誌）,0,0,0,0
102,非対面型ブレインストーミングにおける相槌機能を利用したアイディア創出の提案,0.095346259,0,0,0.080582296
104,ブレインストーミング,0,0,0,0
105,における発話の可視化の影響,0,0,0,0
107,探索的な,0,0,0,0
108,研究,0,0,0,0
112,人工知能学会,0,0,0,0
113,知識流通ネットワーク研究会,0,0,0,0
115,発話情報や発話数を表示する事で参加者の発言を促すシステムの提案,0.084515425,0,0.049629167,0
117,なるほど,0,0,0,0
118,ボタン：褒める効果音ボタンを用いたブレインストーミング支援システム,0,0,0.058722022,0
120,検討,0,0,0,0
123,情報処理学会,0,0,0,0
124,エンターテイメントコンピューティング研究会,0,0,0,0
126,物理,0,0,0,0
127,ボタンと効果音によるブレインストーミングの支援システムの考案,0.029880715,0,0.070186241,0
128,研究課題（１）,0.228217732,0,0,0.15430335
129,チャット上でおこなう議論・ブレインストーミングの場合，,0,0,0,0
130,意見やアイディアが多く投稿されるために情報が埋もれる問,0.166855953,0,0,0
131,題がある．,0,0,0,0
132,情報の埋没を防ぐために何人かに分かれて議論などをおこ,0,0,0,0.089087081
133,なった場合，出てきた意見をまとめるのに時間がかかるとい,0.05,0,0.058722022,0.084515425
134,う統合面での問題がある．,0.141421356,0,0,0
135,研究課題（２）,0.045643546,0,0,0.15430335
136,参加者にアイディアや意見を求めるため，人によっては一切,0,0,0,0
137,発話しないなど，人によって参加度合いに差が出る事がある．,0.05,0,0,0.084515425
138,誰も発言しない場合，アイディアの創出に繋がらないという,0.119522861,0,0,0.101015254
139,悪循環が発生する場合がある．,0.193649167,0,0,0
140,研究目的,0,0,0,0
142,チャット上でのブレインストーミングで出たアイディアや意見の統合,0.111803399,0,0,0.094491118
143,を支援するシステムの提案．,0.079056942,0,0.092847669,0
144,ソフトウェア,0,0,0,0
145,開発の現場で，問題に近いテーマ設定のブレインストー,0,0,0,0.094491118
146,ミングをおこない，出てきたアイディアをシステムで統合する．その,0.125,0,0.058722022,0.084515425
147,情報を活用することで，問題の解決に繋がる,0.05976143,0,0.070186241,0
148,のではない,0.111803399,0,0.131306433,0.188982237
150,研究のアプローチ,0,0,0,0
151,ブレインストーミングで出てきたアイディアや意見をタグで記,0.083852549,0,0.065653216,0.094491118
152,録してもらう．,0.091287093,0,0,0.15430335
153,アイディアや発言内容を,0.091287093,0,0,0
154,自然言語,0,0,0,0
155,処理を用いる事で，近いアイ,0,0,0,0
156,ディアのものや意見を統合する．,0.176776695,0,0,0
157,発言やアイディア,0.111803399,0,0,0
158,の内容を記録,0,0,0,0
159,参加者,0,0,0,0
160,アイディアの統合,0.223606798,0,0,0
161,チャット,0,0,0,0
162,システム,0,0,0.185695338,0
163,考え・アイディア,0,0,0,0
164,を投稿,0,0,0,0
165,考えたアイディア,0,0,0,0
166,や意見,0,0,0,0
167,（チーム,0,0,0,0
168,書き手,0,0,0,0
169,（チーム,0,0,0,0
170,考えたアイディア,0,0,0,0
171,や意見,0,0,0,0
172,意見がない参加者,0.045643546,0,0,0
173,チームの参加者が必要,0.197642354,0,0,0
174,だと感じた,0,0,0,0.267261242
175,物,0,0,0,0
176,を記録,0,0,0,0
177,テーマに関連する単語を推薦,0.035355339,0,0,0
178,ブレインストーミング,0,0,0,0
179,終了時,0,0,0,0
181,チームで出たアイディ,0,0,0,0
182,アや意見を統合して提示,0.212132034,0,0,0.119522861
183,従来方式との比較,0.045643546,0,0,0
185,対面型,0,0,0,0
186,BS,0,0,0,0
187,の場合,0,0,0,0
189,出てきたアイディアをまとめるために時間がかかる．,0,0,0,0
191,非対面,0,0,0,0
192,BS,0,0,0,0
193,と本提案方式を利用した特徴,0.209165007,0,0,0.101015254
196,記録されたアイディアや意見の統合がシステムで進むことで，,0.262202212,0,0.111978502,0.080582296
197,統合する部分にかかる時間などのコストが減る．,0.149403576,0.142857143,0,0
198,過去の似た様なテーマの,0,0,0,0
199,BS,0,0,0,0
200,に関するデータがあれば，内容を比,0,0,0.092847669,0
201,較する事で問題解決に繋がる様なアイディアを提案する事も可能,0.059292706,0,0,0
202,になる．,0.079056942,0.377964473,0,0.267261242
203,実装（１）,0.223606798,0.267261242,0.262612866,0
204,実装（３）,0,0.267261242,0.262612866,0
205,発言の類似度を抽出するプログラムの,0.096824584,0,0,0
206,作成,0,0,0,0
208,コーパスに存在しない語は特徴ベクトルを,0.096824584,0,0,0.109108945
209,とした,0.158113883,0,0,0.267261242
211,類似度抽出をする際には記録者のタグを用いてラベル付けし，,0.143019388,0,0.055989251,0.080582296
212,そのラベルの中で比較する,0.035355339,0,0,0
214,コーパスは,0,0,0,0
215,Web,0,0,0,0
216,上で公開されているデータを，特徴ベクトルの算出には,0.105409255,0,0.061898446,0
217,WordVec,0,0,0,0
218,を利用した,0.167705098,0,0,0.188982237
219,①プロトタイプシステム,0,0,0.131306433,0
220,で発言を記録,0.091287093,0,0,0.15430335
222,mecab,0,0,0,0
223,による分かち書き,0,0,0,0
224,を利用した名詞・動詞・形,0.106066017,0,0,0.119522861
225,容詞・感動詞の抽出,0,0,0,0
227,Wikipedia,0,0,0,0
228,コーパス,0,0,0,0
229,を利用した,0.167705098,0,0,0.188982237
230,特徴ベクトル算出,0.045643546,0,0,0
232,コサイン類似度による,0,0,0,0
233,文書間の類似度抽出,0,0,0,0
234,実験,0.237170825,0,0.185695338,0.267261242
235,実験,0.237170825,0,0.185695338,0.267261242
236,概要,0,0,0,0
238,実際にチャット上でおこなわれている発言から，類似度を抽出,0.119182824,0,0,0
239,し，「この発言とこの発言は似ていて，この発言と発言は似てい,0.146993683,0,0.062776482,0.045175395
240,ない」と分類出来るのかを検証する．,0.096824584,0,0.075809804,0.109108945
241,実験,0.237170825,0,0.185695338,0.267261242
242,目的,0,0,0,0
244,システムをブレインストーミングで利用してもらう前に，実際,0.083852549,0,0.065653216,0.188982237
245,に示すことが出来るのかの確認を兼ねる．,0.064549722,0,0.151619609,0.109108945
246,実験,0.237170825,0,0.185695338,0.267261242
247,手順,0,0,0,0
249,実験に利用する発言データを用意する（今回は手動でラベル,0.182574186,0,0.107211253,0.077151675
250,付けした複数の発言を利用）,0.176776695,0,0.08304548,0.119522861
252,つの,0,0,0,0
253,発言を比較し類似度がどう出てくるかを示す,0.105409255,0,0,0.089087081
255,類似度が示せたとして，どうしきい値を設定すればいいかを,0,0.133630621,0.065653216,0.094491118
256,考察する,0.055901699,0,0,0
257,実験,0.237170825,0,0.185695338,0.267261242
258,結果,0,0,0,0
259,実験,0.237170825,0,0.185695338,0.267261242
260,概要,0,0,0,0
261,プロトタイプシステムを利用した,0.118585412,0,0.092847669,0.133630621
262,チームによるチャット上での,0,0,0,0
263,ブレインストーミングと，何も利用しない,0.118585412,0,0,0.267261242
264,チームによるチャッ,0,0,0,0
265,ト上によるブレインストーミングをしてもらい，アイディアの統,0.05976143,0,0,0.101015254
266,合（結論づけ）にかかった時間を計測する．,0.029880715,0,0,0
267,実験,0.237170825,0,0.185695338,0.267261242
268,目的,0,0,0,0
269,ソフトウェア開発時に利用するブレインストーミングの場合は，,0.05976143,0,0,0
270,問題解決手法として用いられているが，出てきたアイディアの統,0.025,0,0.058722022,0
271,合（まとめ）に時間がかかる問題がある．その問題を解決出来る,0,0,0,0
272,可能性があるのかを確かめる．,0.035355339,0,0.08304548,0.119522861
273,実験,0.237170825,0,0.185695338,0.267261242
274,手順,0,0,0,0
275,アイディアを出しやすいとされている,0.096824584,0,0,0
276,人のチームを,0,0,0,0
277,つ作成,0,0,0,0
279,ABCD,0,0,0,0
280,とする）,0.079056942,0,0,0
282,ソフトウェア開発に関連するブレインストーミングのテーマを設,0.029880715,0,0,0
283,定し，チャット上で,0.079056942,0,0,0.133630621
284,分程度のブレインストーミングをしてもら,0.070710678,0,0.08304548,0.119522861
285,う,0,0,0,0
287,テーマに対する結論をチャット上で出す段階に移行する,0.02795085,0,0,0
290,チームでは，プロトタイプシステムに集約されたアイディア,0.05976143,0,0.070186241,0
291,や意見を利用して統合し，結論を出してもらう,0.225,0,0,0.169030851
293,C,0,0,0,0
295,D,0,0,0,0
296,チームでは，そのままアイディアや意見を統合し結論を出,0.167705098,0,0,0.094491118
297,してもらう,0.111803399,0,0,0.188982237
299,結論が出るまでにかかった時間，実際に統合に利用された発話数,0.166855953,0,0,0
302,ならシステムに記録された数，,0.064549722,0,0.075809804,0
303,C,0,0,0,0
305,D,0,0,0,0
306,なら全発言数），生,0.070710678,0,0,0
307,まれたアイディア数を比較する,0.035355339,0,0,0
308,発話を促す仕組みの追加,0,0,0,0
309,Web,0,0,0,0
310,側と類似度抽出の連携,0,0,0,0
311,実験データの収集,0.136930639,0,0.214422507,0.15430335
312,普通の対話への適応,0,0,0,0
,,,,,
,,12.43887325,1.322605342,5.508983217,8.780586386
