id,text,H-tsukiji,ktakano,ktakano
110,fastText,0,0,0
111,による学,0,0,0
112,習済みモデルを,0,0,0
113,用いた特徴ベクトル算出,0,0.075377836,0
114,平均化した特徴ベクトルを,0.03380617,0.269679945,0.14509525
115,用いたコサイン類似度による,0.075592895,0.075377836,0
116,fastText,0,0,0
118,WordVec,0,0,0
119,と同様に単語の分散表現を獲得可能,0,0,0
121,WordVec,0,0,0
122,では出来なかった活用形の考慮を可能にしている,0.053452248,0.159900537,0.114707867
123,例）,0,0,0.162221421
124,WordVec,0,0,0
125,では「,0.075592895,0,0
126,go,0,0,0
128,goes,0,0,0
130,going,0,0,0
131,」は人間的には近いがモデル的に,0,0.056980288,0
132,は別の単語として認識,0,0,0
133,fastText,0,0,0
134,では単語を構成する文字のまとまり（,0.21602469,0.153864364,0
135,sub word,0,0,0
136,）を考慮すること,0.305505046,0.21759707,0
137,で活用形で変化しない基幹部分の表現を共有可能（「,0.095618289,0.143019388,0.102597835
138,go,0,0,0
140,goes,0,0,0
142,go,0,0,0
143,は同じとして精度を高められる）,0,0,0
145,今回は,0,0,0
146,Wikipedia,0,0,0
147,のテキストコーパスを,0,0,0
148,fastText,0,0,0
149,を用いて学習された公,0.06761234,0.067419986,0
150,開モデルを利用した,0.037796447,0.226133508,0.162221421
151,特徴ベクトルの生成,0,0.087038828,0
153,Wikipedia,0,0,0
154,にある,0,0,0
155,万単語を,0,0,0
156,Skip,0,0,0
158,gram,0,0,0
159,でモデル化すること,0.270449362,0.202259959,0
160,で，特徴ベクトルを生成する,0.236643191,0.235969952,0
161,Skip,0,0,0
163,gram,0,0,0
164,：単語の周辺にどの,0.087287156,0.043519414,0
165,単語が登場するかの確率でモデル化する手法,0.305505046,0.239356777,0
167,Wikipedia,0,0,0
168,にある約,0,0,0
169,万単語が,0.043643578,0,0
170,次元のベクトルで示された,0.037796447,0.037688918,0
171,学習済みモデルを読み込む,0,0,0
173,用意,0,0,0
174,した発言セットを分かち書きし，ストップワードを除去,0.075592895,0.276385399,0.216295228
175,した上で学習済みモデルを利用して単語の特徴ベクトルを抽,0.041931393,0.271778653,0.179968508
176,出する,0.32071349,0.266500895,0
178,発言文章に登場する単語の特徴ベクトルの平均を計算,0.176383421,0.226133508,0
180,平均化された,0.075592895,0.113066754,0
181,つの,0,0,0
182,特徴ベクトルをコサイン類似度を利用して,0.085714286,0.284901441,0.122627868
183,類似度を示す,0.087287156,0.130558242,0
185,ソフトウェア開発のブレインストーミングで登場しそうな,0.057142857,0.170940865,0.122627868
186,発言,0.075592895,0.075377836,0
187,とそれに応答,0,0,0
188,する発言を組み合わせた,0.305505046,0.261116484,0
189,発言セット,0.053452248,0.053300179,0
190,を用いて類似度を抽出する．,0.304255532,0.235969952,0
192,発言,0.075592895,0.075377836,0
194,Slack,0,0,0
195,上に利用者が投稿した,0.06761234,0.168549966,0.14509525
196,文章のこと．,0.053452248,0.053300179,0
198,発言セット,0.053452248,0.053300179,0
200,A,0,0,0
201,が何かを発した事に対する,0.037796447,0,0
202,B,0,0,0
203,の応答をあわせたもの．,0,0,0
204,例）,0,0,0.162221421
205,A,0,0,0
207,新しい機能ですがなんかありますかね？,0.06761234,0.033709993,0
209,B,0,0,0
211,うーん、新しい機能よりも今ある機能で改善したいのがあります。,0.188691271,0.146342352,0.089984254
213,A,0,0,0
214,と,0,0,0
215,B,0,0,0
216,の発言セット,0.053452248,0.053300179,0
218,新しい機能ですがなんかありますかね？,0.06761234,0.033709993,0
219,うーん,0,0,0
220,、新しい機能よりも今ある,0.075592895,0.037688918,0
221,機能で改善したいのがあります。,0.21602469,0.184637236,0.132453236
224,ブレインストーミングで生まれるアイディアや考えが含まれる,0.09258201,0.030772873,0
225,発言同士の類似度を示す事が出来るのかを確認する．,0.286854866,0.214529083,0
227,実験に利用する発言セットを用意する,0.32756921,0.351763235,0
228,発言セット同士を比較し類似度がどう出てくるかを示す,0.091168461,0.227272727,0.097823198
231,複数名によるチャット上での,0,0.075377836,0
232,ブレインストーミング,0,0.075377836,0
233,を実施し，,0.053452248,0.266500895,0.229415734
234,必要だと感じた発言を,0.043643578,0.043519414,0
235,プロトタイプ,0,0,0
236,システムを通じて記録しても,0.130930734,0.21759707,0.187317162
237,らう．そして，記録されたアイディアや議論をスコア化して比較,0.136752692,0.227272727,0.097823198
238,する．,0.453557368,0.376889181,0
240,スコアを用意して，ブレインストーミングで生まれたアイディ,0.057142857,0.170940865,0.122627868
241,アや議論の類似度をランキング的に示せるか（統合できるか）を,0.050395263,0.150755672,0
242,見る．,0,0,0
243,評価パラメータを用意し，パラメータを利用したスコア算出,0.041931393,0.229966553,0.179968508
244,の式を用意する,0.261861468,0.21759707,0
245,記録,0,0,0
246,された発言セットをその式を利用して評価する,0.239045722,0.333711906,0.102597835
247,評価された発言セットのランキング結果を考察する,0.226778684,0.226133508,0
248,実験,0,0.150755672,0
250,評価式,0,0,0
251,以下の評価パラメータを用いてブレインストーミングの評価付け,0,0.025125945,0
252,をおこなう．,0,0,0
254,初期のアイディア数,0.130930734,0,0
256,発言数,0.053452248,0.053300179,0
258,チャット以外（オンラインホワイトボードなど）を利用したか,0.03086067,0.215410109,0.132453236
260,解決,0,0.075377836,0
261,方法の導出（導出にいたった経緯で細分化）,0,0.050251891,0
263,全員一致でテーマに対する答えが出た場合,0,0.030772873,0.066226618
265,誰かの反対や疑問がありながらも答えが出た場合,0,0.028490144,0.061313934
267,全員反対な答えなどの中からあいにく見つけてきた場合,0,0.025125945,0.054073807
269,答えが見つからなかった場合,0,0.043519414,0.093658581
270,実験,0,0.150755672,0
272,結果,0,0,0
273,様々な手段での議論・会話への対応,0,0.067419986,0
274,スコアにより分類された発言データを用いた,0.142857143,0.113960576,0
275,コーパスの作成による自動分類,0.075592895,0.037688918,0
276,ブレストの実施数と良いプロダクトの相関実験,0.026726124,0.053300179,0
,,,,
,,16.20210338,17.26617316,5.381412797
